Div1: Div1, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03993	0.03863	0.16	100000	3863	96752	6567671	65.68
1941	1-4	0.00203	0.00809	1.62	96137	778	382694	6470919	67.31
1941	5-9	0.00078	0.00388	2.13	95359	370	475736	6088225	63.85
1941	10-14	0.00070	0.00351	2.7	94989	333	474181	5612490	59.09
1941	15-19	0.00117	0.00582	2.65	94656	551	471988	5138309	54.28
1941	20-24	0.00158	0.00785	2.58	94105	739	468739	4666321	49.59
1941	25-29	0.00185	0.00922	2.57	93366	861	464741	4197582	44.96
1941	30-34	0.00237	0.01177	2.61	92505	1089	459920	3732841	40.35
1941	35-39	0.00329	0.01634	2.66	91416	1493	453586	3272921	35.80
1941	40-44	0.00500	0.02472	2.68	89922	2223	444463	2819335	31.35
1941	45-49	0.00771	0.03787	2.66	87699	3322	430708	2374872	27.08
1941	50-54	0.01184	0.05760	2.66	84378	4860	410525	1944164	23.04
1941	55-59	0.01807	0.08665	2.63	79517	6890	381257	1533639	19.29
1941	60-64	0.02680	0.12599	2.63	72627	9150	341444	1152382	15.87
1941	65-69	0.03972	0.18150	2.63	63477	11521	290057	810938	12.78
1941	70-74	0.06085	0.26488	2.56	51956	13762	226179	520881	10.03
1941	75-79	0.09380	0.38136	2.55	38194	14566	155286	294702	7.72
1941	80-84	0.13650	0.50357	2.4	23628	11898	87171	139416	5.90
1941	85-89	0.19940	0.64274	2.24	11730	7539	37810	52245	4.45
1941	90-94	0.26911	0.75510	2.09	4191	3164	11759	14436	3.44
1941	95-99	0.37051	0.85852	1.88	1026	881	2378	2677	2.61
1941	100-104	0.47794	0.92177	1.67	145	134	280	299	2.06
1941	105-109	0.58843	0.95767	1.48	11	11	18	19	1.69
1941	110+	0.67624	1.00000	1.48	0	0	1	1	1.48
1942	0	0.03801	0.03682	0.15	100000	3682	96883	6596925	65.97
1942	1-4	0.00201	0.00801	1.58	96318	771	383402	6500042	67.49
1942	5-9	0.00087	0.00432	2.43	95546	412	476673	6116640	64.02
1942	10-14	0.00075	0.00376	2.54	95134	358	474789	5639967	59.28
1942	15-19	0.00107	0.00531	2.68	94776	504	472711	5165178	54.50
1942	20-24	0.00159	0.00790	2.62	94272	745	469589	4692468	49.78
1942	25-29	0.00193	0.00961	2.54	93527	899	465429	4222879	45.15
1942	30-34	0.00232	0.01153	2.63	92628	1068	460609	3757450	40.56
1942	35-39	0.00351	0.01739	2.65	91561	1593	454057	3296841	36.01
1942	40-44	0.00488	0.02413	2.68	89968	2171	444804	2842784	31.60
1942	45-49	0.00786	0.03858	2.66	87797	3388	431068	2397981	27.31
1942	50-54	0.01157	0.05630	2.65	84410	4752	410902	1966913	23.30
1942	55-59	0.01772	0.08504	2.65	79657	6774	382363	1556011	19.53
1942	60-64	0.02683	0.12614	2.64	72884	9194	342696	1173648	16.10
1942	65-69	0.03877	0.17741	2.61	63690	11299	291462	830952	13.05
1942	70-74	0.06019	0.26227	2.55	52391	13741	228289	539490	10.30
1942	75-79	0.08687	0.35796	2.54	38650	13835	159269	311202	8.05
1942	80-84	0.12975	0.48558	2.41	24815	12050	92864	151933	6.12
1942	85-89	0.18832	0.62176	2.27	12765	7937	42146	59068	4.63
1942	90-94	0.26500	0.74741	2.08	4828	3609	13618	16922	3.50
1942	95-99	0.35526	0.84628	1.91	1220	1032	2905	3304	2.71
1942	100-104	0.46231	0.91480	1.7	187	172	371	399	2.13
1942	105-109	0.57433	0.95430	1.5	16	15	27	28	1.73
