Div3: Div3, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03804	0.03685	0.15	100000	3685	96882	6570334	65.70
1941-1944	1-4	0.00215	0.00855	1.57	96315	823	383259	6473452	67.21
1941-1944	5-9	0.00099	0.00492	2.37	95492	470	476222	6090193	63.78
1941-1944	10-14	0.00089	0.00443	2.62	95022	421	474108	5613971	59.08
1941-1944	15-19	0.00141	0.00705	2.63	94601	667	471425	5139863	54.33
1941-1944	20-24	0.00175	0.00869	2.56	93934	816	467674	4668438	49.70
1941-1944	25-29	0.00201	0.01002	2.57	93117	933	463317	4200764	45.11
1941-1944	30-34	0.00262	0.01302	2.62	92184	1200	458058	3737447	40.54
1941-1944	35-39	0.00365	0.01811	2.63	90983	1647	451017	3279389	36.04
1941-1944	40-44	0.00520	0.02569	2.65	89336	2295	441279	2828372	31.66
1941-1944	45-49	0.00792	0.03889	2.63	87041	3385	427196	2387093	27.42
1941-1944	50-54	0.01164	0.05663	2.64	83656	4737	407085	1959896	23.43
1941-1944	55-59	0.01709	0.08211	2.61	78919	6480	379080	1552812	19.68
1941-1944	60-64	0.02508	0.11833	2.62	72439	8572	341816	1173731	16.20
1941-1944	65-69	0.03740	0.17154	2.59	63867	10955	292917	831915	13.03
1941-1944	70-74	0.05825	0.25485	2.55	52912	13485	231507	538998	10.19
1941-1944	75-79	0.08880	0.36324	2.5	39427	14321	161286	307491	7.80
1941-1944	80-84	0.13684	0.50447	2.4	25106	12665	92550	146205	5.82
1941-1944	85-89	0.20378	0.65387	2.26	12441	8135	39919	53655	4.31
1941-1944	90-94	0.29404	0.78066	2	4306	3362	11432	13737	3.19
1941-1944	95-99	0.39812	0.87932	1.83	944	830	2086	2305	2.44
1941-1944	100-104	0.51553	0.93706	1.6	114	107	207	218	1.92
1941-1944	105-109	0.63211	0.96714	1.41	7	7	11	11	1.58
1941-1944	110+	0.72195	1.00000	1.39	0	0	0	0	1.39
1945-1949	0	0.03208	0.03122	0.14	100000	3122	97307	6745473	67.45
1945-1949	1-4	0.00146	0.00582	1.59	96878	564	386155	6648166	68.62
1945-1949	5-9	0.00073	0.00366	2.39	96314	353	480650	6262011	65.02
1945-1949	10-14	0.00071	0.00353	2.66	95962	339	479014	5781361	60.25
1945-1949	15-19	0.00118	0.00588	2.66	95623	562	476797	5302347	55.45
1945-1949	20-24	0.00150	0.00747	2.53	95060	710	473547	4825550	50.76
1945-1949	25-29	0.00160	0.00799	2.56	94350	754	469907	4352003	46.13
1945-1949	30-34	0.00206	0.01026	2.62	93596	960	465699	3882095	41.48
1945-1949	35-39	0.00301	0.01496	2.66	92636	1386	459938	3416397	36.88
1945-1949	40-44	0.00465	0.02299	2.66	91250	2098	451348	2956459	32.40
1945-1949	45-49	0.00707	0.03476	2.67	89152	3099	438540	2505112	28.10
1945-1949	50-54	0.01104	0.05381	2.63	86054	4630	419290	2066571	24.01
1945-1949	55-59	0.01617	0.07786	2.63	81423	6340	392089	1647281	20.23
1945-1949	60-64	0.02363	0.11181	2.6	75084	8395	355235	1255193	16.72
1945-1949	65-69	0.03552	0.16364	2.6	66689	10913	307232	899957	13.49
1945-1949	70-74	0.05344	0.23654	2.57	55776	13193	246868	592725	10.63
1945-1949	75-79	0.08505	0.35069	2.5	42583	14933	175589	345857	8.12
1945-1949	80-84	0.12530	0.47360	2.42	27649	13095	104512	170268	6.16
1945-1949	85-89	0.19383	0.63437	2.28	14555	9233	47633	65755	4.52
1945-1949	90-94	0.27062	0.75406	2.06	5322	4013	14828	18122	3.41
1945-1949	95-99	0.38457	0.87037	1.86	1309	1139	2962	3294	2.52
1945-1949	100-104	0.50505	0.93358	1.62	170	158	314	332	1.95
1945-1949	105-109	0.62602	0.96618	1.42	11	11	17	18	1.59
1945-1949	110+	0.71957	1.00000	1.39	0	0	1	1	1.39
1950-1954	0	0.02678	0.02616	0.12	100000	2616	97705	6899337	68.99
1950-1954	1-4	0.00119	0.00475	1.62	97384	462	388434	6801632	69.84
1950-1954	5-9	0.00057	0.00284	2.35	96921	275	483878	6413199	66.17
1950-1954	10-14	0.00055	0.00276	2.7	96646	267	482619	5929320	61.35
1950-1954	15-19	0.00103	0.00512	2.68	96379	494	480753	5446702	56.51
1950-1954	20-24	0.00126	0.00630	2.52	95886	604	477933	4965949	51.79
1950-1954	25-29	0.00137	0.00684	2.54	95282	652	474810	4488016	47.10
1950-1954	30-34	0.00170	0.00848	2.63	94630	802	471252	4013206	42.41
1950-1954	35-39	0.00252	0.01251	2.67	93828	1174	466401	3541954	37.75
1950-1954	40-44	0.00401	0.01986	2.69	92654	1840	459016	3075552	33.19
1950-1954	45-49	0.00647	0.03186	2.67	90815	2894	447329	2616536	28.81
1950-1954	50-54	0.00989	0.04832	2.66	87921	4248	429648	2169207	24.67
1950-1954	55-59	0.01505	0.07263	2.62	83673	6077	403880	1739559	20.79
1950-1954	60-64	0.02240	0.10637	2.63	77596	8254	368410	1335679	17.21
1950-1954	65-69	0.03359	0.15537	2.59	69342	10774	320758	967269	13.95
1950-1954	70-74	0.05094	0.22662	2.57	58569	13273	260565	646511	11.04
1950-1954	75-79	0.07706	0.32343	2.52	45296	14650	190118	385946	8.52
1950-1954	80-84	0.11968	0.45782	2.43	30646	14030	117234	195828	6.39
1950-1954	85-89	0.18007	0.60583	2.3	16615	10066	55902	78594	4.73
1950-1954	90-94	0.26755	0.75467	2.11	6549	4943	18473	22692	3.46
1950-1954	95-99	0.36695	0.85699	1.89	1607	1377	3752	4219	2.63
1950-1954	100-104	0.48507	0.92568	1.66	230	213	438	467	2.03
1950-1954	105-109	0.60594	0.96212	1.45	17	16	27	28	1.64
