Div3: Div3, Lifetables (period 1x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03539	0.03436	0.15	100000	3436	97087	6754480	67.54
1941	1	0.00368	0.00367	0.5	96564	355	96387	6657394	68.94
1941	2	0.00200	0.00200	0.5	96210	192	96113	6561007	68.19
1941	3	0.00145	0.00145	0.5	96017	139	95947	6464894	67.33
1941	4	0.00109	0.00109	0.5	95878	105	95826	6368946	66.43
1941	5	0.00097	0.00097	0.5	95773	93	95727	6273121	65.50
1941	6	0.00092	0.00092	0.5	95681	88	95637	6177394	64.56
1941	7	0.00089	0.00089	0.5	95593	85	95550	6081757	63.62
1941	8	0.00084	0.00083	0.5	95508	80	95468	5986207	62.68
1941	9	0.00075	0.00075	0.5	95428	72	95392	5890739	61.73
1941	10	0.00070	0.00070	0.5	95356	66	95323	5795347	60.78
1941	11	0.00068	0.00068	0.5	95290	65	95257	5700024	59.82
1941	12	0.00071	0.00071	0.5	95225	68	95191	5604767	58.86
1941	13	0.00077	0.00077	0.5	95157	73	95120	5509576	57.90
1941	14	0.00087	0.00087	0.5	95084	82	95043	5414456	56.94
1941	15	0.00100	0.00100	0.5	95001	95	94954	5319413	55.99
1941	16	0.00112	0.00112	0.5	94906	106	94853	5224459	55.05
1941	17	0.00122	0.00122	0.5	94800	116	94742	5129606	54.11
1941	18	0.00135	0.00134	0.5	94684	127	94621	5034864	53.18
1941	19	0.00143	0.00142	0.5	94557	135	94490	4940243	52.25
1941	20	0.00153	0.00153	0.5	94422	144	94350	4845754	51.32
1941	21	0.00166	0.00166	0.5	94278	156	94200	4751404	50.40
1941	22	0.00173	0.00172	0.5	94122	162	94041	4657204	49.48
1941	23	0.00179	0.00178	0.5	93960	168	93876	4563163	48.57
1941	24	0.00183	0.00182	0.5	93792	171	93706	4469287	47.65
1941	25	0.00185	0.00185	0.5	93621	173	93535	4375580	46.74
1941	26	0.00187	0.00187	0.5	93448	174	93361	4282046	45.82
1941	27	0.00194	0.00193	0.5	93274	180	93184	4188685	44.91
1941	28	0.00205	0.00205	0.5	93094	191	92998	4095501	43.99
1941	29	0.00216	0.00216	0.5	92903	201	92802	4002503	43.08
1941	30	0.00227	0.00227	0.5	92702	210	92597	3909701	42.17
