PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div3,f,1941-1944,0,0.03302,0.03211,0.15,100000,3211,97256,6800495,68.00
Div3,f,1941-1944,1,0.00342,0.00342,0.5,96789,331,96623,6703240,69.26
Div3,f,1941-1944,2,0.00183,0.00183,0.5,96458,177,96369,6606616,68.49
Div3,f,1941-1944,3,0.00145,0.00145,0.5,96281,140,96211,6510247,67.62
Div3,f,1941-1944,4,0.00121,0.00121,0.5,96141,116,96083,6414036,66.71
Div3,f,1941-1944,5,0.00101,0.00101,0.5,96025,97,95977,6317953,65.79
Div3,f,1941-1944,6,0.00089,0.00089,0.5,95928,85,95885,6221976,64.86
Div3,f,1941-1944,7,0.00080,0.00080,0.5,95843,76,95805,6126091,63.92
Div3,f,1941-1944,8,0.00073,0.00073,0.5,95767,70,95732,6030286,62.97
Div3,f,1941-1944,9,0.00067,0.00067,0.5,95697,64,95665,5934554,62.01
Div3,f,1941-1944,10,0.00064,0.00064,0.5,95633,61,95602,5838889,61.06
Div3,f,1941-1944,11,0.00063,0.00063,0.5,95572,60,95542,5743287,60.09
Div3,f,1941-1944,12,0.00065,0.00065,0.5,95512,62,95481,5647745,59.13
Div3,f,1941-1944,13,0.00071,0.00071,0.5,95449,68,95416,5552264,58.17
Div3,f,1941-1944,14,0.00080,0.00080,0.5,95382,76,95344,5456849,57.21
Div3,f,1941-1944,15,0.00091,0.00091,0.5,95306,87,95262,5361505,56.26
Div3,f,1941-1944,16,0.00102,0.00102,0.5,95218,97,95170,5266243,55.31
Div3,f,1941-1944,17,0.00113,0.00112,0.5,95121,107,95068,5171073,54.36
Div3,f,1941-1944,18,0.00122,0.00122,0.5,95014,116,94956,5076006,53.42
Div3,f,1941-1944,19,0.00130,0.00130,0.5,94898,124,94836,4981050,52.49
Div3,f,1941-1944,20,0.00139,0.00139,0.5,94774,132,94709,4886214,51.56
Div3,f,1941-1944,21,0.00147,0.00147,0.5,94643,139,94573,4791505,50.63
Div3,f,1941-1944,22,0.00154,0.00154,0.5,94503,146,94431,4696932,49.70
Div3,f,1941-1944,23,0.00161,0.00161,0.5,94358,152,94282,4602501,48.78
