Div3: Div3, Lifetables (period 5x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04652	0.04479	0.17	100000	4479	96282	6302158	63.02
1941	1-4	0.00247	0.00983	1.51	95521	939	379746	6205876	64.97
1941	5-9	0.00118	0.00587	2.42	94582	555	471476	5826130	61.60
1941	10-14	0.00110	0.00546	2.66	94026	514	468928	5354654	56.95
1941	15-19	0.00187	0.00930	2.65	93513	870	465518	4885726	52.25
1941	20-24	0.00236	0.01174	2.54	92643	1087	460544	4420208	47.71
1941	25-29	0.00255	0.01266	2.55	91556	1159	454937	3959664	43.25
1941	30-34	0.00318	0.01577	2.62	90397	1425	448589	3504727	38.77
1941	35-39	0.00448	0.02217	2.64	88971	1972	440192	3056139	34.35
1941	40-44	0.00621	0.03060	2.68	86999	2662	428806	2615946	30.07
1941	45-49	0.00950	0.04645	2.62	84337	3917	412381	2187140	25.93
1941	50-54	0.01369	0.06630	2.63	80420	5332	389456	1774759	22.07
1941	55-59	0.02036	0.09708	2.61	75088	7290	358023	1385304	18.45
1941	60-64	0.02978	0.13897	2.6	67798	9422	316413	1027280	15.15
1941	65-69	0.04315	0.19565	2.62	58376	11421	264660	710867	12.18
1941	70-74	0.06557	0.28222	2.53	46955	13252	202101	446207	9.50
1941	75-79	0.10011	0.40050	2.5	33704	13498	134828	244107	7.24
1941	80-84	0.15149	0.54198	2.38	20205	10951	72285	109278	5.41
1941	85-89	0.22555	0.69126	2.2	9255	6397	28363	36993	4.00
1941	90-94	0.31248	0.79974	1.95	2857	2285	7313	8630	3.02
1941	95-99	0.42403	0.89529	1.77	572	512	1208	1318	2.30
1941	100-104	0.54094	0.94526	1.56	60	57	105	110	1.83
1941	105-109	0.65426	0.97090	1.38	3	3	5	5	1.52
1941	110+	0.74029	1.00000	1.35	0	0	0	0	1.35
1942	0	0.04339	0.04187	0.16	100000	4187	96489	6366473	63.66
1942	1-4	0.00209	0.00834	1.6	95813	799	381334	6269983	65.44
1942	5-9	0.00106	0.00526	2.42	95014	500	473784	5888649	61.98
1942	10-14	0.00105	0.00523	2.66	94514	494	471417	5414866	57.29
1942	15-19	0.00172	0.00855	2.63	94021	804	468196	4943449	52.58
1942	20-24	0.00208	0.01033	2.56	93217	963	463733	4475253	48.01
1942	25-29	0.00235	0.01170	2.56	92254	1079	458632	4011520	43.48
1942	30-34	0.00297	0.01474	2.62	91175	1344	452677	3552888	38.97
1942	35-39	0.00423	0.02094	2.65	89831	1881	444730	3100212	34.51
1942	40-44	0.00612	0.03016	2.67	87950	2653	433575	2655482	30.19
1942	45-49	0.00938	0.04587	2.64	85297	3912	417240	2221907	26.05
1942	50-54	0.01376	0.06663	2.64	81385	5423	394127	1804666	22.17
1942	55-59	0.02035	0.09704	2.62	75962	7371	362257	1410540	18.57
1942	60-64	0.02990	0.13956	2.62	68591	9573	320206	1048282	15.28
1942	65-69	0.04263	0.19341	2.6	59018	11415	267753	728077	12.34
1942	70-74	0.06483	0.27949	2.54	47603	13305	205224	460324	9.67
1942	75-79	0.09604	0.38804	2.53	34299	13309	138584	255100	7.44
1942	80-84	0.14573	0.52724	2.38	20989	11066	75936	116516	5.55
1942	85-89	0.21772	0.67923	2.23	9923	6740	30958	40580	4.09
1942	90-94	0.31223	0.80009	1.95	3183	2547	8157	9622	3.02
1942	95-99	0.42390	0.89559	1.78	636	570	1344	1465	2.30
1942	100-104	0.54465	0.94663	1.55	66	63	115	121	1.82
1942	105-109	0.66119	0.97214	1.37	4	3	5	5	1.51
1942	110+	0.74904	1.00000	1.34	0	0	0	0	1.34
1943	0	0.04301	0.04151	0.16	100000	4151	96515	6348099	63.48
1943	1-4	0.00249	0.00989	1.59	95849	948	381106	6251584	65.22
1943	5-9	0.00119	0.00592	2.45	94901	562	473068	5870478	61.86
1943	10-14	0.00113	0.00563	2.61	94339	531	470423	5397411	57.21
1943	15-19	0.00168	0.00837	2.59	93808	785	467143	4926987	52.52
1943	20-24	0.00182	0.00906	2.54	93023	842	463038	4459845	47.94
1943	25-29	0.00212	0.01056	2.57	92180	974	458533	3996807	43.36
1943	30-34	0.00277	0.01376	2.62	91206	1255	453048	3538274	38.79
1943	35-39	0.00397	0.01964	2.64	89951	1767	445590	3085226	34.30
1943	40-44	0.00594	0.02931	2.65	88184	2585	434841	2639636	29.93
1943	45-49	0.00936	0.04581	2.64	85599	3921	418755	2204795	25.76
1943	50-54	0.01421	0.06873	2.63	81678	5614	395101	1786040	21.87
1943	55-59	0.02070	0.09860	2.59	76065	7500	362282	1390939	18.29
1943	60-64	0.03009	0.14034	2.6	68565	9622	319768	1028657	15.00
1943	65-69	0.04362	0.19702	2.55	58942	11613	266251	708890	12.03
1943	70-74	0.06746	0.28885	2.51	47330	13671	202671	442639	9.35
1943	75-79	0.09997	0.39832	2.45	33658	13407	134111	239968	7.13
1943	80-84	0.15796	0.55675	2.35	20252	11275	71379	105856	5.23
1943	85-89	0.23395	0.70690	2.2	8976	6345	27124	34478	3.84
1943	90-94	0.34233	0.82947	1.89	2631	2182	6375	7354	2.80
1943	95-99	0.44921	0.90934	1.73	449	408	908	979	2.18
1943	100-104	0.57097	0.95395	1.51	41	39	68	71	1.74
1943	105-109	0.68560	0.97572	1.33	2	2	3	3	1.45
1943	110+	0.77044	1.00000	1.3	0	0	0	0	1.30
1944	0	0.03894	0.03769	0.15	100000	3769	96795	6440324	64.40
1944	1-4	0.00220	0.00876	1.64	96231	843	382932	6343529	65.92
1944	5-9	0.00118	0.00588	2.4	95388	561	475481	5960597	62.49
1944	10-14	0.00108	0.00541	2.6	94827	513	472905	5485116	57.84
1944	15-19	0.00157	0.00784	2.57	94314	740	469775	5012211	53.14
1944	20-24	0.00160	0.00799	2.5	93575	747	466005	4542436	48.54
1944	25-29	0.00182	0.00904	2.59	92827	840	462114	4076431	43.91
1944	30-34	0.00258	0.01284	2.64	91988	1181	457151	3614317	39.29
1944	35-39	0.00377	0.01871	2.66	90807	1699	450050	3157165	34.77
1944	40-44	0.00583	0.02875	2.63	89108	2561	439460	2707115	30.38
1944	45-49	0.00910	0.04452	2.64	86546	3853	423633	2267656	26.20
1944	50-54	0.01369	0.06630	2.62	82693	5482	400443	1844023	22.30
1944	55-59	0.02017	0.09615	2.59	77211	7424	368154	1443580	18.70
1944	60-64	0.02901	0.13555	2.59	69787	9460	326128	1075426	15.41
1944	65-69	0.04247	0.19209	2.51	60327	11588	272836	749299	12.42
1944	70-74	0.06364	0.27466	2.51	48739	13386	210353	476463	9.78
1944	75-79	0.09294	0.37515	2.43	35352	13262	142692	266110	7.53
1944	80-84	0.14661	0.52901	2.37	22090	11686	79710	123418	5.59
1944	85-89	0.21059	0.66516	2.23	10404	6920	32863	43708	4.20
1944	90-94	0.30406	0.79187	1.97	3484	2759	9073	10845	3.11
1944	95-99	0.39771	0.87832	1.82	725	637	1601	1773	2.44
1944	100-104	0.50818	0.93391	1.61	88	82	162	172	1.94
1944	105-109	0.61841	0.96421	1.43	6	6	9	9	1.61
1944	110+	0.70421	1.00000	1.42	0	0	0	0	1.42
1945	0	0.03875	0.03751	0.15	100000	3751	96808	6460737	64.61
1945	1-4	0.00190	0.00758	1.59	96249	729	383236	6363930	66.12
1945	5-9	0.00100	0.00497	2.34	95519	474	476335	5980693	62.61
1945	10-14	0.00103	0.00515	2.68	95045	489	474092	5504358	57.91
1945	15-19	0.00157	0.00782	2.56	94556	739	470976	5030266	53.20
1945	20-24	0.00158	0.00785	2.5	93817	737	467239	4559290	48.60
1945	25-29	0.00183	0.00909	2.6	93080	846	463370	4092051	43.96
1945	30-34	0.00253	0.01259	2.65	92234	1161	458439	3628682	39.34
1945	35-39	0.00374	0.01852	2.67	91073	1686	451443	3170243	34.81
1945	40-44	0.00585	0.02886	2.65	89386	2580	440872	2718800	30.42
1945	45-49	0.00885	0.04337	2.68	86807	3764	425296	2277928	26.24
1945	50-54	0.01373	0.06648	2.64	83042	5520	402188	1852632	22.31
1945	55-59	0.02032	0.09688	2.61	77522	7511	369647	1450444	18.71
1945	60-64	0.02901	0.13562	2.6	70011	9495	327277	1080798	15.44
1945	65-69	0.04220	0.19114	2.54	60517	11567	274124	753521	12.45
1945	70-74	0.06226	0.27039	2.57	48949	13235	212578	479397	9.79
1945	75-79	0.09724	0.39013	2.47	35714	13933	143283	266819	7.47
1945	80-84	0.14136	0.51495	2.36	21781	11216	79343	123536	5.67
1945	85-89	0.21195	0.66960	2.25	10565	7074	33377	44193	4.18
1945	90-94	0.30363	0.79096	1.97	3491	2761	9093	10816	3.10
1945	95-99	0.41242	0.88861	1.8	730	648	1572	1723	2.36
1945	100-104	0.53159	0.94251	1.58	81	77	144	151	1.86
1945	105-109	0.64803	0.96997	1.39	5	5	7	7	1.54
1945	110+	0.73667	1.00000	1.36	0	0	0	0	1.36
1946	0	0.03968	0.03839	0.15	100000	3839	96743	6484573	64.85
