Div4: Div4, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03238	0.03151	0.14	100000	3151	97302	6988031	69.88
1941-1944	1	0.00353	0.00352	0.5	96849	341	96678	6890729	71.15
1941-1944	2	0.00180	0.00180	0.5	96508	174	96421	6794051	70.40
1941-1944	3	0.00143	0.00143	0.5	96334	138	96265	6697630	69.53
1941-1944	4	0.00114	0.00114	0.5	96196	110	96141	6601365	68.62
1941-1944	5	0.00093	0.00093	0.5	96086	89	96041	6505224	67.70
1941-1944	6	0.00080	0.00080	0.5	95997	76	95958	6409183	66.76
1941-1944	7	0.00070	0.00070	0.5	95920	67	95887	6313224	65.82
1941-1944	8	0.00063	0.00063	0.5	95853	61	95823	6217338	64.86
1941-1944	9	0.00059	0.00059	0.5	95792	57	95764	6121515	63.90
1941-1944	10	0.00058	0.00058	0.5	95735	55	95708	6025751	62.94
1941-1944	11	0.00059	0.00059	0.5	95680	56	95652	5930044	61.98
1941-1944	12	0.00062	0.00062	0.5	95624	59	95595	5834391	61.01
1941-1944	13	0.00068	0.00068	0.5	95565	65	95532	5738797	60.05
1941-1944	14	0.00077	0.00077	0.5	95500	73	95463	5643265	59.09
1941-1944	15	0.00087	0.00087	0.5	95426	83	95385	5547802	58.14
1941-1944	16	0.00096	0.00096	0.5	95344	91	95298	5452417	57.19
1941-1944	17	0.00104	0.00104	0.5	95252	99	95203	5357119	56.24
1941-1944	18	0.00110	0.00110	0.5	95153	105	95101	5261916	55.30
1941-1944	19	0.00115	0.00114	0.5	95049	109	94995	5166815	54.36
1941-1944	20	0.00119	0.00119	0.5	94940	113	94884	5071820	53.42
1941-1944	21	0.00123	0.00123	0.5	94828	117	94769	4976937	52.48
1941-1944	22	0.00128	0.00128	0.5	94711	121	94650	4882167	51.55
1941-1944	23	0.00132	0.00132	0.5	94590	125	94527	4787517	50.61
1941-1944	24	0.00136	0.00136	0.5	94465	129	94400	4692990	49.68
1941-1944	25	0.00139	0.00139	0.5	94336	131	94271	4598589	48.75
1941-1944	26	0.00142	0.00142	0.5	94205	134	94138	4504319	47.81
1941-1944	27	0.00148	0.00148	0.5	94071	139	94002	4410180	46.88
1941-1944	28	0.00156	0.00156	0.5	93932	147	93859	4316179	45.95
