PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div4,m,1941-1949,0,0.03784,0.03665,0.15,100000,3665,96872,6630799,66.31
Div4,m,1941-1949,1,0.00308,0.00308,0.5,96335,297,96186,6533927,67.83
Div4,m,1941-1949,2,0.00189,0.00189,0.5,96038,181,95947,6437741,67.03
Div4,m,1941-1949,3,0.00138,0.00138,0.5,95857,132,95791,6341793,66.16
Div4,m,1941-1949,4,0.00116,0.00116,0.5,95725,111,95669,6246003,65.25
Div4,m,1941-1949,5,0.00105,0.00105,0.5,95614,100,95564,6150333,64.32
Div4,m,1941-1949,6,0.00098,0.00098,0.5,95514,94,95467,6054769,63.39
Div4,m,1941-1949,7,0.00093,0.00093,0.5,95421,89,95376,5959302,62.45
Div4,m,1941-1949,8,0.00090,0.00089,0.5,95332,85,95289,5863925,61.51
Div4,m,1941-1949,9,0.00087,0.00087,0.5,95247,83,95205,5768636,60.57
Div4,m,1941-1949,10,0.00086,0.00086,0.5,95164,81,95123,5673431,59.62
Div4,m,1941-1949,11,0.00088,0.00088,0.5,95082,84,95041,5578308,58.67
Div4,m,1941-1949,12,0.00095,0.00095,0.5,94999,90,94954,5483267,57.72
Div4,m,1941-1949,13,0.00105,0.00105,0.5,94909,99,94859,5388313,56.77
Div4,m,1941-1949,14,0.00118,0.00118,0.5,94810,112,94753,5293454,55.83
Div4,m,1941-1949,15,0.00135,0.00135,0.5,94697,128,94634,5198701,54.90
Div4,m,1941-1949,16,0.00149,0.00149,0.5,94570,141,94499,5104067,53.97
Div4,m,1941-1949,17,0.00161,0.00161,0.5,94429,152,94352,5009568,53.05
Div4,m,1941-1949,18,0.00170,0.00170,0.5,94276,161,94196,4915216,52.14
Div4,m,1941-1949,19,0.00177,0.00177,0.5,94116,166,94033,4821019,51.22
Div4,m,1941-1949,20,0.00181,0.00181,0.5,93950,170,93864,4726987,50.31
Div4,m,1941-1949,21,0.00185,0.00185,0.5,93779,173,93693,4633122,49.40
Div4,m,1941-1949,22,0.00188,0.00188,0.5,93606,176,93518,4539430,48.50
Div4,m,1941-1949,23,0.00190,0.00190,0.5,93430,177,93341,4445912,47.59
Div4,m,1941-1949,24,0.00190,0.00190,0.5,93253,177,93164,4352571,46.67
Div4,m,1941-1949,25,0.00189,0.00189,0.5,93076,176,92988,4259406,45.76
Div4,m,1941-1949,26,0.00189,0.00189,0.5,92900,176,92812,4166419,44.85
Div4,m,1941-1949,27,0.00191,0.00191,0.5,92724,177,92635,4073607,43.93
Div4,m,1941-1949,28,0.00194,0.00194,0.5,92547,179,92457,3980972,43.02
Div4,m,1941-1949,29,0.00198,0.00198,0.5,92368,183,92276,3888515,42.10
Div4,m,1941-1949,30,0.00204,0.00204,0.5,92184,188,92090,3796239,41.18
Div4,m,1941-1949,31,0.00211,0.00211,0.5,91996,194,91899,3704148,40.26
Div4,m,1941-1949,32,0.00221,0.00221,0.5,91802,203,91701,3612249,39.35
Div4,m,1941-1949,33,0.00234,0.00234,0.5,91599,214,91492,3520548,38.43
Div4,m,1941-1949,34,0.00250,0.00249,0.5,91385,228,91271,3429056,37.52
Div4,m,1941-1949,35,0.00269,0.00269,0.5,91157,245,91035,3337785,36.62
Div4,m,1941-1949,36,0.00290,0.00289,0.5,90912,263,90781,3246750,35.71
Div4,m,1941-1949,37,0.00313,0.00312,0.5,90649,283,90508,3155969,34.82
Div4,m,1941-1949,38,0.00339,0.00338,0.5,90366,306,90213,3065461,33.92
Div4,m,1941-1949,39,0.00368,0.00367,0.5,90060,331,89895,2975248,33.04
Div4,m,1941-1949,40,0.00397,0.00396,0.5,89730,355,89552,2885353,32.16
Div4,m,1941-1949,41,0.00426,0.00426,0.5,89374,380,89184,2795801,31.28
Div4,m,1941-1949,42,0.00462,0.00461,0.5,88994,410,88789,2706616,30.41
Div4,m,1941-1949,43,0.00501,0.00500,0.5,88584,443,88363,2617828,29.55
Div4,m,1941-1949,44,0.00539,0.00537,0.5,88141,474,87904,2529465,28.70
Div4,m,1941-1949,45,0.00582,0.00580,0.5,87668,509,87413,2441561,27.85
Div4,m,1941-1949,46,0.00630,0.00628,0.5,87159,547,86885,2354147,27.01
Div4,m,1941-1949,47,0.00684,0.00682,0.5,86611,591,86316,2267262,26.18
Div4,m,1941-1949,48,0.00747,0.00744,0.5,86021,640,85701,2180946,25.35
Div4,m,1941-1949,49,0.00820,0.00817,0.5,85381,697,85032,2095245,24.54
Div4,m,1941-1949,50,0.00904,0.00900,0.5,84684,762,84303,2010213,23.74
Div4,m,1941-1949,51,0.00985,0.00980,0.5,83921,823,83510,1925910,22.95
Div4,m,1941-1949,52,0.01072,0.01067,0.5,83099,886,82656,1842400,22.17
Div4,m,1941-1949,53,0.01170,0.01163,0.5,82212,956,81734,1759744,21.40
Div4,m,1941-1949,54,0.01273,0.01265,0.5,81256,1027,80743,1678010,20.65
Div4,m,1941-1949,55,0.01384,0.01374,0.5,80229,1103,79678,1597267,19.91
Div4,m,1941-1949,56,0.01500,0.01488,0.5,79126,1178,78537,1517590,19.18
Div4,m,1941-1949,57,0.01627,0.01613,0.5,77948,1258,77320,1439053,18.46
Div4,m,1941-1949,58,0.01766,0.01751,0.5,76691,1342,76019,1361733,17.76
Div4,m,1941-1949,59,0.01913,0.01895,0.5,75348,1428,74634,1285714,17.06
Div4,m,1941-1949,60,0.02071,0.02050,0.5,73920,1515,73163,1211079,16.38
Div4,m,1941-1949,61,0.02234,0.02210,0.5,72405,1600,71605,1137916,15.72
Div4,m,1941-1949,62,0.02420,0.02391,0.5,70805,1693,69959,1066311,15.06
Div4,m,1941-1949,63,0.02629,0.02595,0.5,69112,1793,68216,996352,14.42
Div4,m,1941-1949,64,0.02846,0.02806,0.5,67319,1889,66375,928136,13.79
Div4,m,1941-1949,65,0.03092,0.03045,0.5,65430,1992,64434,861761,13.17
Div4,m,1941-1949,66,0.03349,0.03294,0.5,63438,2089,62393,797328,12.57
Div4,m,1941-1949,67,0.03635,0.03570,0.5,61348,2190,60253,734935,11.98
Div4,m,1941-1949,68,0.03976,0.03898,0.5,59158,2306,58005,674682,11.40
Div4,m,1941-1949,69,0.04344,0.04252,0.5,56852,2417,55643,616677,10.85
Div4,m,1941-1949,70,0.04748,0.04638,0.5,54434,2525,53172,561034,10.31
Div4,m,1941-1949,71,0.05150,0.05021,0.5,51910,2606,50607,507861,9.78
Div4,m,1941-1949,72,0.05616,0.05463,0.5,49303,2693,47957,457255,9.27
Div4,m,1941-1949,73,0.06159,0.05975,0.5,46610,2785,45218,409298,8.78
Div4,m,1941-1949,74,0.06720,0.06501,0.5,43825,2849,42401,364081,8.31
Div4,m,1941-1949,75,0.07348,0.07088,0.5,40976,2904,39524,321680,7.85
Div4,m,1941-1949,76,0.08014,0.07705,0.5,38072,2934,36605,282156,7.41
Div4,m,1941-1949,77,0.08718,0.08354,0.5,35138,2935,33670,245551,6.99
Div4,m,1941-1949,78,0.09541,0.09106,0.5,32203,2933,30736,211881,6.58
