PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div7,b,1941,0,0.05823,0.05567,0.21,100000,5567,95598,6319617,63.20
Div7,b,1941,1-4,0.00353,0.01401,1.33,94433,1323,374199,6224019,65.91
Div7,b,1941,5-9,0.00111,0.00552,2.41,93111,514,464222,5849820,62.83
Div7,b,1941,10-14,0.00111,0.00554,2.7,92597,513,461801,5385598,58.16
Div7,b,1941,15-19,0.00208,0.01033,2.68,92083,951,458211,4923797,53.47
Div7,b,1941,20-24,0.00289,0.01434,2.6,91133,1307,452527,4465586,49.00
Div7,b,1941,25-29,0.00320,0.01589,2.51,89825,1427,445579,4013059,44.68
Div7,b,1941,30-34,0.00374,0.01852,2.6,88398,1637,438055,3567481,40.36
Div7,b,1941,35-39,0.00475,0.02346,2.59,86761,2035,428898,3129425,36.07
Div7,b,1941,40-44,0.00617,0.03039,2.68,84726,2575,417654,2700527,31.87
Div7,b,1941,45-49,0.00869,0.04256,2.6,82151,3497,402366,2282873,27.79
Div7,b,1941,50-54,0.01236,0.06004,2.66,78654,4722,382209,1880507,23.91
Div7,b,1941,55-59,0.01703,0.08179,2.58,73932,6047,355045,1498297,20.27
Div7,b,1941,60-64,0.02413,0.11421,2.67,67885,7753,321334,1143253,16.84
Div7,b,1941,65-69,0.03441,0.15898,2.61,60131,9560,277791,821919,13.67
Div7,b,1941,70-74,0.05290,0.23472,2.6,50572,11870,224382,544128,10.76
Div7,b,1941,75-79,0.08186,0.34080,2.54,38701,13190,161126,319746,8.26
Div7,b,1941,80-84,0.12843,0.48236,2.42,25512,12306,95821,158620,6.22
Div7,b,1941,85-89,0.19067,0.62540,2.25,13206,8259,43315,62799,4.76
Div7,b,1941,90-94,0.23401,0.69653,2.09,4947,3446,14725,19484,3.94
Div7,b,1941,95-99,0.30040,0.78982,2,1501,1186,3947,4759,3.17
Div7,b,1941,100-104,0.37806,0.86167,1.84,316,272,719,812,2.57
Div7,b,1941,105-109,0.46246,0.91265,1.68,44,40,86,93,2.14
Div7,b,1941,110+,0.53169,1.00000,1.88,4,4,7,7,1.88
Div7,b,1942,0,0.05156,0.04949,0.19,100000,4949,95994,6437542,64.38
Div7,b,1942,1-4,0.00334,0.01326,1.41,95051,1261,376940,6341548,66.72
Div7,b,1942,5-9,0.00107,0.00534,2.34,93790,501,467619,5964608,63.60
Div7,b,1942,10-14,0.00102,0.00510,2.68,93289,476,465340,5496989,58.92
Div7,b,1942,15-19,0.00186,0.00928,2.73,92813,862,462107,5031648,54.21
Div7,b,1942,20-24,0.00283,0.01404,2.61,91951,1291,456672,4569541,49.70
Div7,b,1942,25-29,0.00300,0.01491,2.48,90661,1352,449896,4112869,45.37
Div7,b,1942,30-34,0.00343,0.01699,2.62,89309,1517,442928,3662973,41.01
Div7,b,1942,35-39,0.00463,0.02288,2.61,87792,2008,434162,3220045,36.68
Div7,b,1942,40-44,0.00589,0.02903,2.65,85783,2490,423062,2785883,32.48
Div7,b,1942,45-49,0.00830,0.04068,2.63,83293,3389,408428,2362822,28.37
Div7,b,1942,50-54,0.01195,0.05814,2.65,79905,4645,388607,1954394,24.46
Div7,b,1942,55-59,0.01603,0.07718,2.58,75259,5808,362251,1565787,20.81
Div7,b,1942,60-64,0.02309,0.10956,2.68,69451,7609,329588,1203536,17.33
Div7,b,1942,65-69,0.03277,0.15185,2.58,61842,9391,286527,873948,14.13
Div7,b,1942,70-74,0.04995,0.22309,2.61,52451,11701,234275,587421,11.20
Div7,b,1942,75-79,0.07456,0.31638,2.61,40750,12892,172907,353145,8.67
