Div8: Div8, Lifetables (period 5x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.06293	0.05997	0.21	100000	5997	95286	6138332	61.38
1941-1944	1-4	0.00409	0.01619	1.39	94003	1522	372035	6043046	64.29
1941-1944	5-9	0.00134	0.00669	2.38	92481	619	460788	5671011	61.32
1941-1944	10-14	0.00143	0.00711	2.64	91863	653	457771	5210223	56.72
1941-1944	15-19	0.00246	0.01225	2.76	91210	1117	453547	4752452	52.10
1941-1944	20-24	0.00396	0.01961	2.54	90093	1767	446120	4298905	47.72
1941-1944	25-29	0.00327	0.01621	2.4	88326	1432	437902	3852786	43.62
1941-1944	30-34	0.00339	0.01679	2.58	86894	1459	430939	3414884	39.30
1941-1944	35-39	0.00451	0.02230	2.62	85434	1906	422644	2983945	34.93
1941-1944	40-44	0.00622	0.03067	2.63	83529	2562	411577	2561301	30.66
1941-1944	45-49	0.00927	0.04535	2.62	80967	3672	396104	2149724	26.55
1941-1944	50-54	0.01317	0.06383	2.62	77296	4934	374726	1753620	22.69
1941-1944	55-59	0.01886	0.09021	2.6	72362	6528	346162	1378894	19.06
1941-1944	60-64	0.02787	0.13065	2.61	65834	8601	308617	1032732	15.69
1941-1944	65-69	0.04063	0.18496	2.58	57233	10586	260565	724115	12.65
1941-1944	70-74	0.06240	0.27033	2.53	46648	12610	202095	463550	9.94
1941-1944	75-79	0.09278	0.37615	2.49	34037	12803	137988	261455	7.68
1941-1944	80-84	0.14251	0.51873	2.38	21234	11015	77290	123467	5.81
1941-1944	85-89	0.20058	0.64401	2.22	10219	6581	32811	46178	4.52
1941-1944	90-94	0.25369	0.73042	2.1	3638	2657	10474	13367	3.67
1941-1944	95-99	0.32554	0.81641	1.95	981	801	2460	2893	2.95
1941-1944	100-104	0.40649	0.88152	1.79	180	159	390	433	2.41
1941-1944	105-109	0.49289	0.92613	1.63	21	20	40	43	2.01
1941-1944	110+	0.56337	1.00000	1.78	2	2	3	3	1.78
1945-1949	0	0.05123	0.04917	0.18	100000	4917	95980	6369292	63.69
1945-1949	1-4	0.00263	0.01045	1.48	95083	993	377832	6273312	65.98
1945-1949	5-9	0.00116	0.00577	2.39	94089	543	469029	5895480	62.66
1945-1949	10-14	0.00116	0.00581	2.68	93546	543	466470	5426451	58.01
1945-1949	15-19	0.00202	0.01004	2.67	93003	934	462843	4959980	53.33
1945-1949	20-24	0.00260	0.01290	2.52	92070	1188	457407	4497138	48.84
1945-1949	25-29	0.00265	0.01316	2.52	90882	1196	451441	4039731	44.45
1945-1949	30-34	0.00302	0.01498	2.57	89686	1343	445161	3588290	40.01
1945-1949	35-39	0.00395	0.01954	2.64	88342	1727	437629	3143129	35.58
1945-1949	40-44	0.00591	0.02916	2.65	86616	2525	427140	2705500	31.24
1945-1949	45-49	0.00842	0.04128	2.64	84090	3471	412251	2278360	27.09
1945-1949	50-54	0.01258	0.06109	2.62	80619	4925	391378	1866110	23.15
1945-1949	55-59	0.01823	0.08733	2.62	75694	6611	362710	1474732	19.48
