PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div9,b,1941-1949,0,0.03296,0.03205,0.14,100000,3205,97244,6679353,66.79
Div9,b,1941-1949,1-4,0.00178,0.00709,1.63,96795,686,385558,6582110,68.00
Div9,b,1941-1949,5-9,0.00086,0.00430,2.32,96109,414,479437,6196552,64.47
Div9,b,1941-1949,10-14,0.00079,0.00395,2.69,95695,378,477602,5717115,59.74
Div9,b,1941-1949,15-19,0.00147,0.00733,2.71,95317,699,474988,5239512,54.97
Div9,b,1941-1949,20-24,0.00206,0.01024,2.53,94618,969,470701,4764525,50.36
Div9,b,1941-1949,25-29,0.00205,0.01022,2.51,93649,957,465862,4293823,45.85
Div9,b,1941-1949,30-34,0.00245,0.01220,2.61,92692,1131,460760,3827961,41.30
Div9,b,1941-1949,35-39,0.00354,0.01755,2.65,91562,1607,454032,3367201,36.78
Div9,b,1941-1949,40-44,0.00520,0.02570,2.65,89954,2311,444338,2913169,32.38
Div9,b,1941-1949,45-49,0.00776,0.03810,2.64,87643,3339,430326,2468831,28.17
Div9,b,1941-1949,50-54,0.01132,0.05513,2.62,84303,4648,410445,2038505,24.18
Div9,b,1941-1949,55-59,0.01624,0.07815,2.61,79656,6225,383416,1628060,20.44
Div9,b,1941-1949,60-64,0.02343,0.11093,2.6,73430,8146,347628,1244645,16.95
Div9,b,1941-1949,65-69,0.03502,0.16151,2.59,65285,10544,301065,897016,13.74
Div9,b,1941-1949,70-74,0.05297,0.23459,2.56,54741,12842,242414,595952,10.89
Div9,b,1941-1949,75-79,0.08156,0.33883,2.5,41899,14197,174063,353538,8.44
Div9,b,1941-1949,80-84,0.11709,0.45052,2.44,27703,12481,106588,179475,6.48
Div9,b,1941-1949,85-89,0.17938,0.60495,2.31,15222,9208,51335,72887,4.79
Div9,b,1941-1949,90-94,0.25607,0.73540,2.11,6013,4422,17270,21552,3.58
Div9,b,1941-1949,95-99,0.35711,0.84882,1.91,1591,1351,3782,4283,2.69
Div9,b,1941-1949,100-104,0.47264,0.92022,1.68,241,221,468,501,2.08
Div9,b,1941-1949,105-109,0.59232,0.95905,1.47,19,18,31,32,1.68
Div9,b,1941-1949,110+,0.68713,1.00000,1.46,1,1,1,1,1.46
Div9,b,1950-1959,0,0.02500,0.02446,0.12,100000,2446,97842,7020996,70.21
Div9,b,1950-1959,1-4,0.00108,0.00429,1.62,97554,418,389222,6923154,70.97
Div9,b,1950-1959,5-9,0.00049,0.00247,2.32,97136,240,485036,6533933,67.27
Div9,b,1950-1959,10-14,0.00045,0.00227,2.71,96896,220,483977,6048897,62.43
