Div9: Div9, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03686	0.03574	0.15	100000	3574	96965	6562392	65.62
1941-1944	1-4	0.00222	0.00885	1.6	96426	853	383655	6465427	67.05
1941-1944	5-9	0.00101	0.00505	2.3	95573	483	476560	6081772	63.64
1941-1944	10-14	0.00087	0.00436	2.65	95090	415	474476	5605212	58.95
1941-1944	15-19	0.00162	0.00806	2.74	94675	763	471649	5130736	54.19
1941-1944	20-24	0.00242	0.01202	2.56	93912	1129	466805	4659087	49.61
1941-1944	25-29	0.00236	0.01172	2.47	92784	1088	461169	4192282	45.18
1941-1944	30-34	0.00273	0.01355	2.62	91696	1242	455523	3731112	40.69
1941-1944	35-39	0.00397	0.01964	2.64	90454	1777	448081	3275590	36.21
1941-1944	40-44	0.00549	0.02710	2.62	88677	2403	437676	2827509	31.89
1941-1944	45-49	0.00820	0.04023	2.63	86273	3471	423142	2389833	27.70
1941-1944	50-54	0.01177	0.05724	2.62	82803	4739	402725	1966691	23.75
1941-1944	55-59	0.01686	0.08102	2.6	78063	6325	375164	1563966	20.03
1941-1944	60-64	0.02467	0.11651	2.61	71738	8358	338750	1188803	16.57
1941-1944	65-69	0.03635	0.16711	2.59	63380	10592	291359	850052	13.41
1941-1944	70-74	0.05591	0.24589	2.55	52789	12980	232149	558693	10.58
1941-1944	75-79	0.08410	0.34738	2.5	39809	13829	164427	326544	8.20
1941-1944	80-84	0.12406	0.47031	2.43	25980	12219	98487	162118	6.24
1941-1944	85-89	0.18743	0.62169	2.29	13761	8555	45645	63631	4.62
1941-1944	90-94	0.26854	0.75114	2.07	5206	3910	14562	17986	3.45
1941-1944	95-99	0.36468	0.85468	1.89	1296	1107	3036	3424	2.64
1941-1944	100-104	0.47825	0.92245	1.67	188	174	363	388	2.06
1941-1944	105-109	0.59526	0.95959	1.47	15	14	24	24	1.67
1941-1944	110+	0.68784	1.00000	1.45	1	1	1	1	1.45
1945-1949	0	0.03079	0.02999	0.13	100000	2999	97403	6755650	67.56
1945-1949	1-4	0.00155	0.00618	1.66	97001	599	386603	6658247	68.64
1945-1949	5-9	0.00077	0.00387	2.33	96402	373	481015	6271644	65.06
1945-1949	10-14	0.00073	0.00366	2.71	96029	351	479343	5790629	60.30
1945-1949	15-19	0.00136	0.00678	2.69	95678	649	476894	5311286	55.51
1945-1949	20-24	0.00180	0.00898	2.52	95029	854	473029	4834392	50.87
1945-1949	25-29	0.00185	0.00921	2.54	94176	867	468744	4361364	46.31
1945-1949	30-34	0.00227	0.01129	2.61	93308	1053	464022	3892619	41.72
1945-1949	35-39	0.00327	0.01620	2.66	92255	1495	457772	3428598	37.16
1945-1949	40-44	0.00500	0.02471	2.67	90761	2243	448568	2970826	32.73
1945-1949	45-49	0.00746	0.03664	2.64	88517	3243	434943	2522258	28.49
1945-1949	50-54	0.01100	0.05361	2.62	85274	4572	415478	2087315	24.48
1945-1949	55-59	0.01580	0.07615	2.62	80703	6146	388879	1671837	20.72
1945-1949	60-64	0.02262	0.10726	2.6	74557	7997	353565	1282958	17.21
1945-1949	65-69	0.03414	0.15778	2.6	66560	10502	307586	929393	13.96
1945-1949	70-74	0.05104	0.22707	2.57	56058	12729	249386	621807	11.09
1945-1949	75-79	0.07987	0.33308	2.51	43329	14432	180693	372421	8.60
1945-1949	80-84	0.11247	0.43706	2.45	28897	12630	112291	191728	6.63
1945-1949	85-89	0.17455	0.59469	2.32	16267	9674	55423	79437	4.88
1945-1949	90-94	0.25094	0.72985	2.13	6593	4812	19177	24014	3.64
1945-1949	95-99	0.35336	0.84593	1.92	1781	1507	4264	4837	2.72
1945-1949	100-104	0.47079	0.91959	1.69	274	252	536	573	2.09
1945-1949	105-109	0.59270	0.95925	1.47	22	21	36	37	1.68
1945-1949	110+	0.68921	1.00000	1.45	1	1	1	1	1.45
1950-1954	0	0.02535	0.02480	0.12	100000	2480	97815	6971969	69.72
1950-1954	1-4	0.00118	0.00472	1.63	97520	460	388990	6874155	70.49
1950-1954	5-9	0.00054	0.00269	2.34	97060	261	484606	6485164	66.82
1950-1954	10-14	0.00050	0.00252	2.71	96799	244	483437	6000558	61.99
1950-1954	15-19	0.00101	0.00505	2.72	96555	487	481665	5517121	57.14
1950-1954	20-24	0.00134	0.00667	2.54	96068	641	478764	5035456	52.42
1950-1954	25-29	0.00142	0.00708	2.52	95427	676	475455	4556692	47.75
1950-1954	30-34	0.00170	0.00845	2.63	94751	801	471858	4081236	43.07
1950-1954	35-39	0.00251	0.01247	2.66	93950	1172	467010	3609378	38.42
1950-1954	40-44	0.00399	0.01977	2.69	92778	1834	459647	3142368	33.87
1950-1954	45-49	0.00644	0.03170	2.67	90944	2883	448002	2682721	29.50
1950-1954	50-54	0.00965	0.04717	2.64	88061	4154	430504	2234720	25.38
1950-1954	55-59	0.01412	0.06830	2.61	83907	5731	405832	1804216	21.50
1950-1954	60-64	0.02073	0.09878	2.63	78176	7722	372576	1398384	17.89
1950-1954	65-69	0.03136	0.14582	2.6	70454	10273	327624	1025808	14.56
1950-1954	70-74	0.04760	0.21332	2.57	60181	12838	269711	698184	11.60
1950-1954	75-79	0.07137	0.30327	2.53	47343	14358	201180	428472	9.05
1950-1954	80-84	0.10712	0.42112	2.46	32985	13891	129677	227292	6.89
1950-1954	85-89	0.16345	0.56950	2.34	19095	10874	66530	97615	5.11
1950-1954	90-94	0.24066	0.71429	2.16	8220	5872	24398	31084	3.78
1950-1954	95-99	0.33516	0.82957	1.96	2349	1948	5813	6686	2.85
1950-1954	100-104	0.44955	0.90944	1.73	400	364	810	873	2.18
