Div9: Div9, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03143	0.03060	0.14	100000	3060	97371	6926229	69.26
1941-1944	1	0.00319	0.00318	0.5	96940	309	96785	6828858	70.44
1941-1944	2	0.00205	0.00204	0.5	96631	197	96532	6732072	69.67
1941-1944	3	0.00153	0.00153	0.5	96434	148	96360	6635540	68.81
1941-1944	4	0.00129	0.00129	0.5	96286	124	96224	6539180	67.91
1941-1944	5	0.00109	0.00109	0.5	96162	105	96109	6442956	67.00
1941-1944	6	0.00093	0.00093	0.5	96057	90	96012	6346847	66.07
1941-1944	7	0.00081	0.00081	0.5	95967	77	95929	6250835	65.14
1941-1944	8	0.00071	0.00071	0.5	95890	68	95856	6154906	64.19
1941-1944	9	0.00064	0.00064	0.5	95822	61	95791	6059050	63.23
1941-1944	10	0.00060	0.00060	0.5	95761	58	95732	5963259	62.27
1941-1944	11	0.00060	0.00060	0.5	95703	57	95674	5867527	61.31
1941-1944	12	0.00063	0.00063	0.5	95646	61	95615	5771852	60.35
1941-1944	13	0.00070	0.00070	0.5	95585	67	95551	5676237	59.38
1941-1944	14	0.00080	0.00080	0.5	95518	76	95480	5580686	58.43
1941-1944	15	0.00092	0.00092	0.5	95441	88	95398	5485206	57.47
1941-1944	16	0.00103	0.00103	0.5	95354	98	95304	5389809	56.52
1941-1944	17	0.00113	0.00113	0.5	95255	108	95201	5294504	55.58
1941-1944	18	0.00123	0.00123	0.5	95147	117	95089	5199303	54.64
1941-1944	19	0.00132	0.00132	0.5	95030	125	94968	5104214	53.71
1941-1944	20	0.00140	0.00140	0.5	94905	133	94839	5009246	52.78
1941-1944	21	0.00149	0.00149	0.5	94772	141	94701	4914408	51.86
1941-1944	22	0.00156	0.00156	0.5	94631	148	94557	4819706	50.93
1941-1944	23	0.00163	0.00163	0.5	94483	154	94406	4725149	50.01
1941-1944	24	0.00170	0.00169	0.5	94329	160	94249	4630743	49.09
1941-1944	25	0.00174	0.00174	0.5	94170	164	94088	4536494	48.17
1941-1944	26	0.00177	0.00177	0.5	94006	166	93923	4442406	47.26
1941-1944	27	0.00180	0.00180	0.5	93839	169	93755	4348483	46.34
1941-1944	28	0.00185	0.00184	0.5	93671	173	93584	4254728	45.42
1941-1944	29	0.00191	0.00190	0.5	93498	178	93409	4161144	44.51
1941-1944	30	0.00199	0.00199	0.5	93320	186	93227	4067735	43.59
1941-1944	31	0.00209	0.00209	0.5	93134	194	93037	3974508	42.68
1941-1944	32	0.00220	0.00220	0.5	92940	205	92838	3881471	41.76
1941-1944	33	0.00234	0.00234	0.5	92735	217	92627	3788633	40.85
1941-1944	34	0.00250	0.00250	0.5	92518	231	92403	3696007	39.95
1941-1944	35	0.00270	0.00269	0.5	92287	248	92163	3603604	39.05
1941-1944	36	0.00286	0.00286	0.5	92039	263	91907	3511441	38.15
1941-1944	37	0.00304	0.00303	0.5	91776	279	91637	3419534	37.26
1941-1944	38	0.00327	0.00326	0.5	91497	299	91348	3327897	36.37
1941-1944	39	0.00346	0.00345	0.5	91199	315	91041	3236549	35.49
1941-1944	40	0.00361	0.00361	0.5	90884	328	90720	3145508	34.61
1941-1944	41	0.00375	0.00375	0.5	90556	339	90387	3054787	33.73
1941-1944	42	0.00396	0.00395	0.5	90217	357	90039	2964401	32.86
1941-1944	43	0.00426	0.00425	0.5	89860	382	89669	2874362	31.99
1941-1944	44	0.00465	0.00463	0.5	89479	415	89271	2784693	31.12
1941-1944	45	0.00519	0.00517	0.5	89064	461	88834	2695421	30.26
1941-1944	46	0.00558	0.00557	0.5	88603	493	88357	2606588	29.42
1941-1944	47	0.00594	0.00593	0.5	88110	522	87849	2518231	28.58
1941-1944	48	0.00640	0.00638	0.5	87588	558	87309	2430382	27.75
1941-1944	49	0.00681	0.00678	0.5	87029	590	86734	2343073	26.92
1941-1944	50	0.00729	0.00726	0.5	86439	627	86125	2256339	26.10
1941-1944	51	0.00769	0.00766	0.5	85812	657	85483	2170214	25.29
1941-1944	52	0.00818	0.00815	0.5	85154	694	84807	2084731	24.48
