PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div9,f,1941,0,0.03368,0.03274,0.15,100000,3274,97209,6910541,69.11
Div9,f,1941,1-4,0.00192,0.00764,1.5,96726,739,385061,6813332,70.44
Div9,f,1941,5-9,0.00079,0.00394,2.39,95987,378,478950,6428271,66.97
Div9,f,1941,10-14,0.00069,0.00343,2.61,95609,328,477262,5949321,62.23
Div9,f,1941,15-19,0.00111,0.00553,2.66,95281,527,475173,5472059,57.43
Div9,f,1941,20-24,0.00156,0.00775,2.62,94754,735,472027,4996886,52.74
Div9,f,1941,25-29,0.00187,0.00931,2.54,94020,875,467946,4524859,48.13
Div9,f,1941,30-34,0.00218,0.01084,2.61,93144,1010,463305,4056913,43.56
Div9,f,1941,35-39,0.00305,0.01516,2.63,92134,1397,457364,3593609,39.00
Div9,f,1941,40-44,0.00408,0.02022,2.67,90737,1835,449414,3136245,34.56
Div9,f,1941,45-49,0.00602,0.02966,2.62,88902,2637,438228,2686831,30.22
Div9,f,1941,50-54,0.00831,0.04075,2.63,86265,3516,423008,2248603,26.07
Div9,f,1941,55-59,0.01183,0.05756,2.64,82750,4763,402515,1825595,22.06
Div9,f,1941,60-64,0.01823,0.08742,2.67,77987,6817,374030,1423080,18.25
Div9,f,1941,65-69,0.02771,0.13009,2.66,71170,9258,334166,1049050,14.74
Div9,f,1941,70-74,0.04499,0.20337,2.64,61911,12591,279842,714884,11.55
Div9,f,1941,75-79,0.07657,0.32312,2.59,49320,15937,208141,435042,8.82
Div9,f,1941,80-84,0.10878,0.42624,2.46,33384,14229,130812,226901,6.80
Div9,f,1941,85-89,0.16612,0.57608,2.34,19154,11034,66426,96089,5.02
Div9,f,1941,90-94,0.25190,0.73023,2.12,8120,5929,23538,29663,3.65
Div9,f,1941,95-99,0.34220,0.83592,1.94,2190,1831,5351,6124,2.80
Div9,f,1941,100-104,0.45615,0.91253,1.71,359,328,719,773,2.15
Div9,f,1941,105-109,0.57532,0.95492,1.5,31,30,52,54,1.73
Div9,f,1941,110+,0.67026,1.00000,1.49,1,1,2,2,1.49
Div9,f,1942,0,0.03262,0.03173,0.14,100000,3173,97285,6923450,69.23
Div9,f,1942,1-4,0.00217,0.00863,1.59,96827,836,385290,6826165,70.50
Div9,f,1942,5-9,0.00083,0.00413,2.14,95991,397,478820,6440875,67.10
Div9,f,1942,10-14,0.00055,0.00277,2.71,95594,265,477364,5962054,62.37
Div9,f,1942,15-19,0.00113,0.00561,2.71,95329,535,475423,5484690,57.53
Div9,f,1942,20-24,0.00157,0.00782,2.59,94795,741,472186,5009267,52.84
Div9,f,1942,25-29,0.00175,0.00870,2.53,94053,818,468245,4537080,48.24
Div9,f,1942,30-34,0.00211,0.01052,2.6,93235,981,463821,4068836,43.64
Div9,f,1942,35-39,0.00283,0.01406,2.65,92255,1297,458228,3605014,39.08
Div9,f,1942,40-44,0.00410,0.02031,2.67,90957,1847,450484,3146786,34.60
Div9,f,1942,45-49,0.00606,0.02987,2.63,89110,2662,439248,2696302,30.26
Div9,f,1942,50-54,0.00839,0.04111,2.62,86448,3554,423787,2257054,26.11
Div9,f,1942,55-59,0.01151,0.05602,2.63,82895,4644,403478,1833268,22.12
Div9,f,1942,60-64,0.01773,0.08514,2.68,78251,6663,375800,1429789,18.27
Div9,f,1942,65-69,0.02760,0.12965,2.67,71588,9282,336273,1053989,14.72
Div9,f,1942,70-74,0.04585,0.20669,2.62,62307,12878,280886,717716,11.52
Div9,f,1942,75-79,0.07353,0.31253,2.6,49428,15448,210104,436830,8.84
Div9,f,1942,80-84,0.11106,0.43361,2.47,33981,14734,132667,226726,6.67
Div9,f,1942,85-89,0.17309,0.59210,2.33,19246,11396,65835,94060,4.89
Div9,f,1942,90-94,0.25560,0.73527,2.11,7851,5772,22583,28225,3.60
Div9,f,1942,95-99,0.35354,0.84608,1.92,2078,1758,4974,5642,2.71
Div9,f,1942,100-104,0.47073,0.91951,1.69,320,294,625,668,2.09
Div9,f,1942,105-109,0.59179,0.95898,1.48,26,25,42,43,1.68
Div9,f,1942,110+,0.68727,1.00000,1.46,1,1,2,2,1.46
Div9,f,1943,0,0.03113,0.03032,0.14,100000,3032,97393,6899480,68.99
Div9,f,1943,1-4,0.00217,0.00865,1.67,96968,839,385920,6802087,70.15
Div9,f,1943,5-9,0.00086,0.00427,2.15,96129,410,479475,6416167,66.75
Div9,f,1943,10-14,0.00071,0.00356,2.69,95719,340,477807,5936692,62.02
Div9,f,1943,15-19,0.00119,0.00595,2.65,95378,568,475558,5458884,57.23
Div9,f,1943,20-24,0.00157,0.00784,2.58,94811,743,472253,4983326,52.56
Div9,f,1943,25-29,0.00185,0.00921,2.53,94067,866,468200,4511073,47.96
Div9,f,1943,30-34,0.00229,0.01140,2.62,93201,1062,463477,4042873,43.38
Div9,f,1943,35-39,0.00323,0.01603,2.61,92139,1477,457161,3579396,38.85
Div9,f,1943,40-44,0.00411,0.02032,2.58,90662,1843,448845,3122236,34.44
Div9,f,1943,45-49,0.00602,0.02969,2.63,88819,2637,437849,2673391,30.10
Div9,f,1943,50-54,0.00857,0.04200,2.6,86182,3620,422237,2235542,25.94
Div9,f,1943,55-59,0.01200,0.05831,2.6,82562,4815,401244,1813305,21.96
Div9,f,1943,60-64,0.01823,0.08738,2.63,77748,6793,372630,1412061,18.16
Div9,f,1943,65-69,0.02843,0.13307,2.6,70954,9442,332087,1039432,14.65
Div9,f,1943,70-74,0.04683,0.21024,2.57,61513,12933,276137,707345,11.50
Div9,f,1943,75-79,0.07241,0.30634,2.49,48580,14882,205516,431208,8.88
Div9,f,1943,80-84,0.10998,0.42998,2.46,33698,14490,131751,225692,6.70
Div9,f,1943,85-89,0.17205,0.59072,2.35,19208,11347,65951,93942,4.89
Div9,f,1943,90-94,0.25814,0.73803,2.1,7862,5802,22476,27991,3.56
Div9,f,1943,95-99,0.35875,0.85076,1.91,2060,1752,4884,5515,2.68
Div9,f,1943,100-104,0.47922,0.92346,1.67,307,284,592,631,2.05
