Div9: Div9, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03757	0.03640	0.15	100000	3640	96891	6374083	63.74
1941-1949	1	0.00302	0.00302	0.5	96360	291	96215	6277192	65.14
1941-1949	2	0.00201	0.00201	0.5	96069	193	95973	6180978	64.34
1941-1949	3	0.00153	0.00153	0.5	95877	147	95803	6085005	63.47
1941-1949	4	0.00128	0.00128	0.5	95730	122	95669	5989201	62.56
1941-1949	5	0.00115	0.00115	0.5	95608	110	95553	5893533	61.64
1941-1949	6	0.00107	0.00107	0.5	95498	102	95447	5797980	60.71
1941-1949	7	0.00100	0.00100	0.5	95396	96	95348	5702533	59.78
1941-1949	8	0.00094	0.00094	0.5	95300	90	95255	5607186	58.84
1941-1949	9	0.00089	0.00089	0.5	95210	84	95168	5511931	57.89
1941-1949	10	0.00085	0.00085	0.5	95125	81	95085	5416763	56.94
1941-1949	11	0.00086	0.00086	0.5	95045	82	95004	5321678	55.99
1941-1949	12	0.00093	0.00093	0.5	94963	88	94919	5226674	55.04
1941-1949	13	0.00105	0.00105	0.5	94875	100	94825	5131755	54.09
1941-1949	14	0.00122	0.00122	0.5	94775	116	94717	5036931	53.15
1941-1949	15	0.00143	0.00143	0.5	94659	135	94592	4942214	52.21
1941-1949	16	0.00164	0.00164	0.5	94524	155	94447	4847622	51.28
1941-1949	17	0.00186	0.00186	0.5	94369	175	94281	4753175	50.37
1941-1949	18	0.00209	0.00209	0.5	94194	197	94095	4658894	49.46
1941-1949	19	0.00234	0.00234	0.5	93997	220	93887	4564798	48.56
1941-1949	20	0.00259	0.00258	0.5	93777	242	93656	4470911	47.68
1941-1949	21	0.00276	0.00276	0.5	93535	258	93406	4377256	46.80
1941-1949	22	0.00284	0.00284	0.5	93277	265	93144	4283850	45.93
1941-1949	23	0.00284	0.00283	0.5	93012	263	92880	4190706	45.06
1941-1949	24	0.00276	0.00276	0.5	92748	256	92620	4097826	44.18
1941-1949	25	0.00264	0.00264	0.5	92492	244	92370	4005205	43.30
1941-1949	26	0.00254	0.00254	0.5	92248	234	92131	3912835	42.42
1941-1949	27	0.00249	0.00249	0.5	92014	229	91900	3820703	41.52
