Div9: Div9, Lifetables (period 5x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04319	0.04168	0.16	100000	4168	96503	6275788	62.76
1941	1-4	0.00230	0.00913	1.5	95832	875	381142	6179285	64.48
1941	5-9	0.00109	0.00541	2.4	94957	514	473447	5798143	61.06
1941	10-14	0.00100	0.00497	2.68	94443	469	471127	5324696	56.38
1941	15-19	0.00187	0.00933	2.72	93974	877	467875	4853569	51.65
1941	20-24	0.00279	0.01385	2.58	93098	1290	462368	4385694	47.11
1941	25-29	0.00279	0.01387	2.49	91808	1273	455839	3923326	42.73
1941	30-34	0.00324	0.01605	2.64	90535	1453	449244	3467488	38.30
1941	35-39	0.00487	0.02406	2.64	89081	2143	440338	3018243	33.88
1941	40-44	0.00657	0.03238	2.69	86938	2815	428174	2577905	29.65
1941	45-49	0.01042	0.05084	2.63	84123	4277	410497	2149731	25.55
1941	50-54	0.01480	0.07146	2.61	79846	5706	385589	1739235	21.78
1941	55-59	0.02106	0.10026	2.61	74140	7433	352962	1353645	18.26
1941	60-64	0.03157	0.14675	2.61	66706	9789	310108	1000683	15.00
1941	65-69	0.04570	0.20586	2.59	56918	11717	256397	690576	12.13
1941	70-74	0.06719	0.28784	2.51	45200	13010	193628	434179	9.61
1941	75-79	0.09733	0.39138	2.5	32190	12598	129434	240550	7.47
1941	80-84	0.14443	0.52525	2.4	19592	10290	71250	111116	5.67
1941	85-89	0.20936	0.65950	2.19	9301	6134	29299	39866	4.29
1941	90-94	0.27984	0.76753	2.06	3167	2431	8686	10566	3.34
1941	95-99	0.37965	0.86506	1.85	736	637	1678	1880	2.55
1941	100-104	0.48404	0.92403	1.65	99	92	190	202	2.04
1941	105-109	0.59026	0.95787	1.47	8	7	12	13	1.69
1941	110+	0.67429	1.00000	1.48	0	0	0	0	1.48
1942	0	0.04338	0.04186	0.16	100000	4186	96490	6238611	62.39
1942	1-4	0.00252	0.01001	1.56	95814	960	380917	6142122	64.10
1942	5-9	0.00117	0.00581	2.39	94855	552	472834	5761204	60.74
1942	10-14	0.00094	0.00469	2.64	94303	442	470473	5288370	56.08
1942	15-19	0.00193	0.00962	2.79	93861	903	467309	4817897	51.33
1942	20-24	0.00309	0.01535	2.57	92958	1427	461315	4350587	46.80
1942	25-29	0.00285	0.01414	2.46	91531	1294	454368	3889273	42.49
1942	30-34	0.00340	0.01687	2.64	90237	1522	447586	3434905	38.07
1942	35-39	0.00500	0.02473	2.66	88715	2194	438431	2987319	33.67
1942	40-44	0.00714	0.03511	2.66	86521	3038	425481	2548888	29.46
1942	45-49	0.01062	0.05178	2.64	83483	4323	407194	2123407	25.44
1942	50-54	0.01543	0.07442	2.62	79160	5891	381793	1716213	21.68
1942	55-59	0.02195	0.10427	2.6	73269	7639	348002	1334420	18.21
1942	60-64	0.03159	0.14691	2.62	65629	9642	305182	986419	15.03
1942	65-69	0.04610	0.20752	2.6	55988	11618	252008	681237	12.17
1942	70-74	0.06691	0.28679	2.51	44369	12725	190167	429229	9.67
1942	75-79	0.09570	0.38680	2.52	31644	12240	127901	239062	7.55
1942	80-84	0.14122	0.51654	2.4	19404	10023	70976	111161	5.73
1942	85-89	0.21114	0.66509	2.22	9381	6239	29551	40185	4.28
1942	90-94	0.27544	0.76115	2.06	3142	2391	8682	10634	3.38
1942	95-99	0.37214	0.85926	1.87	750	645	1733	1952	2.60
1942	100-104	0.47488	0.91999	1.67	106	97	205	219	2.07
1942	105-109	0.58016	0.95537	1.49	8	8	14	14	1.71
1942	110+	0.66386	1.00000	1.51	0	0	1	1	1.51
1943	0	0.04199	0.04055	0.16	100000	4055	96584	6220657	62.21
1943	1-4	0.00252	0.01003	1.63	95945	963	381497	6124073	63.83
1943	5-9	0.00129	0.00644	2.36	94982	612	473292	5742577	60.46
1943	10-14	0.00120	0.00599	2.64	94370	565	470517	5269285	55.84
1943	15-19	0.00230	0.01143	2.77	93805	1073	466629	4798768	51.16
1943	20-24	0.00358	0.01776	2.54	92732	1647	459605	4332139	46.72
