PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div9,m,1941-1944,0,0.04204,0.04061,0.16,100000,4061,96580,6258539,62.59
Div9,m,1941-1944,1-4,0.00242,0.00964,1.59,95939,925,381529,6161958,64.23
Div9,m,1941-1944,5-9,0.00118,0.00590,2.35,95015,561,473588,5780429,60.84
Div9,m,1941-1944,10-14,0.00107,0.00534,2.66,94454,504,471090,5306841,56.18
Div9,m,1941-1944,15-19,0.00210,0.01046,2.77,93950,983,467561,4835751,51.47
Div9,m,1941-1944,20-24,0.00328,0.01624,2.54,92967,1510,461121,4368190,46.99
Div9,m,1941-1944,25-29,0.00289,0.01436,2.43,91457,1313,453908,3907069,42.72
Div9,m,1941-1944,30-34,0.00321,0.01592,2.62,90144,1435,447308,3453161,38.31
Div9,m,1941-1944,35-39,0.00481,0.02377,2.66,88708,2109,438597,3005853,33.88
Div9,m,1941-1944,40-44,0.00684,0.03366,2.63,86599,2915,426083,2567256,29.65
Div9,m,1941-1944,45-49,0.01029,0.05025,2.63,83684,4205,408466,2141173,25.59
Div9,m,1941-1944,50-54,0.01502,0.07248,2.61,79479,5761,383653,1732708,21.80
Div9,m,1941-1944,55-59,0.02152,0.10231,2.59,73718,7542,350447,1349055,18.30
Div9,m,1941-1944,60-64,0.03118,0.14502,2.59,66176,9597,307799,998607,15.09
Div9,m,1941-1944,65-69,0.04502,0.20284,2.56,56579,11477,254941,690808,12.21
Div9,m,1941-1944,70-74,0.06684,0.28648,2.51,45102,12921,193306,435867,9.66
Div9,m,1941-1944,75-79,0.09565,0.38491,2.46,32181,12387,129495,242561,7.54
Div9,m,1941-1944,80-84,0.14140,0.51650,2.39,19795,10224,72307,113066,5.71
Div9,m,1941-1944,85-89,0.20921,0.66257,2.23,9571,6341,30311,40759,4.26
Div9,m,1941-1944,90-94,0.29017,0.77761,2.02,3229,2511,8654,10448,3.24
Div9,m,1941-1944,95-99,0.38852,0.87199,1.84,718,626,1612,1794,2.50
Div9,m,1941-1944,100-104,0.49831,0.93018,1.63,92,86,172,182,1.98
Div9,m,1941-1944,105-109,0.60877,0.96222,1.45,6,6,10,10,1.63
Div9,m,1941-1944,110+,0.69524,1.00000,1.44,0,0,0,0,1.44
