Reg1: Reg1, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04484	0.04322	0.17	100000	4322	96393	6265071	62.65
1941	1	0.00365	0.00364	0.5	95678	349	95504	6168679	64.47
1941	2	0.00221	0.00221	0.5	95329	211	95224	6073175	63.71
1941	3	0.00178	0.00178	0.5	95119	169	95034	5977951	62.85
1941	4	0.00149	0.00149	0.5	94949	141	94879	5882917	61.96
1941	5	0.00126	0.00126	0.5	94808	120	94748	5788039	61.05
1941	6	0.00109	0.00109	0.5	94688	103	94636	5693291	60.13
1941	7	0.00098	0.00098	0.5	94585	93	94538	5598654	59.19
1941	8	0.00090	0.00090	0.5	94492	85	94450	5504116	58.25
1941	9	0.00084	0.00084	0.5	94407	80	94368	5409666	57.30
1941	10	0.00085	0.00085	0.5	94328	80	94288	5315299	56.35
1941	11	0.00089	0.00089	0.5	94248	84	94206	5221011	55.40
1941	12	0.00095	0.00095	0.5	94164	90	94119	5126805	54.45
1941	13	0.00102	0.00102	0.5	94074	96	94026	5032686	53.50
1941	14	0.00113	0.00113	0.5	93978	106	93925	4938660	52.55
1941	15	0.00127	0.00127	0.5	93872	120	93813	4844735	51.61
1941	16	0.00139	0.00139	0.5	93753	130	93688	4750922	50.67
1941	17	0.00149	0.00149	0.5	93623	140	93553	4657235	49.74
1941	18	0.00161	0.00161	0.5	93483	150	93408	4563682	48.82
1941	19	0.00168	0.00168	0.5	93332	157	93254	4470274	47.90
1941	20	0.00177	0.00177	0.5	93176	165	93093	4377020	46.98
1941	21	0.00189	0.00189	0.5	93010	176	92922	4283927	46.06
1941	22	0.00196	0.00196	0.5	92834	182	92743	4191005	45.14
1941	23	0.00202	0.00202	0.5	92652	187	92559	4098262	44.23
1941	24	0.00206	0.00206	0.5	92465	190	92370	4005703	43.32
1941	25	0.00207	0.00207	0.5	92275	191	92179	3913333	42.41
1941	26	0.00208	0.00207	0.5	92084	191	91988	3821154	41.50
1941	27	0.00216	0.00215	0.5	91893	198	91794	3729165	40.58
1941	28	0.00230	0.00230	0.5	91695	211	91590	3637371	39.67
1941	29	0.00243	0.00243	0.5	91485	222	91373	3545781	38.76
1941	30	0.00259	0.00258	0.5	91262	236	91144	3454408	37.85
1941	31	0.00272	0.00272	0.5	91026	248	90902	3363264	36.95
1941	32	0.00298	0.00298	0.5	90779	270	90644	3272361	36.05
1941	33	0.00318	0.00318	0.5	90509	288	90365	3181718	35.15
1941	34	0.00336	0.00335	0.5	90221	302	90070	3091353	34.26
1941	35	0.00362	0.00361	0.5	89919	325	89756	3001283	33.38
1941	36	0.00371	0.00370	0.5	89594	331	89428	2911527	32.50
1941	37	0.00408	0.00407	0.5	89263	364	89081	2822099	31.62
1941	38	0.00469	0.00468	0.5	88899	416	88691	2733018	30.74
1941	39	0.00506	0.00505	0.5	88483	446	88260	2644327	29.89
1941	40	0.00527	0.00525	0.5	88036	463	87805	2556067	29.03
1941	41	0.00556	0.00555	0.5	87574	486	87331	2468262	28.18
1941	42	0.00660	0.00657	0.5	87088	573	86802	2380932	27.34
1941	43	0.00723	0.00720	0.5	86515	623	86204	2294130	26.52
1941	44	0.00759	0.00756	0.5	85892	649	85567	2207926	25.71
