Reg3: Reg3, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.06262	0.05971	0.22	100000	5971	95351	6163424	61.63
1941	1-4	0.00390	0.01543	1.33	94029	1451	372238	6068073	64.53
1941	5-9	0.00114	0.00570	2.34	92578	528	461485	5695835	61.52
1941	10-14	0.00108	0.00537	2.71	92050	494	459120	5234351	56.86
1941	15-19	0.00216	0.01074	2.7	91556	983	455524	4775230	52.16
1941	20-24	0.00318	0.01579	2.61	90573	1430	449447	4319706	47.69
1941	25-29	0.00363	0.01797	2.53	89143	1602	441758	3870259	43.42
1941	30-34	0.00427	0.02112	2.61	87540	1849	433282	3428502	39.16
1941	35-39	0.00551	0.02719	2.6	85692	2330	422865	2995219	34.95
1941	40-44	0.00719	0.03537	2.69	83361	2948	410007	2572355	30.86
1941	45-49	0.01016	0.04958	2.6	80413	3987	392499	2162348	26.89
1941	50-54	0.01405	0.06799	2.65	76426	5196	369939	1769849	23.16
1941	55-59	0.01889	0.09033	2.58	71230	6434	340579	1399911	19.65
1941	60-64	0.02645	0.12456	2.67	64796	8071	305135	1059332	16.35
1941	65-69	0.03675	0.16891	2.61	56725	9581	260696	754196	13.30
1941	70-74	0.05584	0.24606	2.59	47144	11600	207729	493500	10.47
1941	75-79	0.08655	0.35735	2.56	35544	12702	146748	285771	8.04
1941	80-84	0.13359	0.49602	2.41	22842	11330	84814	139023	6.09
1941	85-89	0.19452	0.63251	2.24	11512	7281	37432	54209	4.71
1941	90-94	0.23244	0.68868	2.04	4231	2914	12534	16777	3.97
1941	95-99	0.29592	0.78402	2	1317	1033	3489	4242	3.22
1941	100-104	0.36752	0.85289	1.86	284	243	660	753	2.65
1941	105-109	0.44531	0.90349	1.71	42	38	85	93	2.22
1941	110+	0.50888	1.00000	1.97	4	4	8	8	1.97
1942	0	0.05276	0.05060	0.19	100000	5060	95922	6334976	63.35
1942	1-4	0.00314	0.01246	1.46	94940	1183	376750	6239054	65.72
1942	5-9	0.00100	0.00499	2.28	93756	468	467509	5862304	62.53
1942	10-14	0.00097	0.00484	2.71	93288	452	465407	5394794	57.83
1942	15-19	0.00189	0.00943	2.75	92836	876	462212	4929387	53.10
1942	20-24	0.00300	0.01492	2.62	91960	1372	456539	4467175	48.58
1942	25-29	0.00332	0.01648	2.51	90589	1493	449226	4010636	44.27
1942	30-34	0.00389	0.01928	2.62	89096	1718	441392	3561410	39.97
1942	35-39	0.00528	0.02606	2.62	87378	2277	431462	3120019	35.71
1942	40-44	0.00670	0.03297	2.65	85101	2806	418913	2688556	31.59
1942	45-49	0.00955	0.04670	2.62	82295	3843	402330	2269643	27.58
1942	50-54	0.01333	0.06461	2.64	78452	5069	380299	1867313	23.80
1942	55-59	0.01777	0.08515	2.57	73383	6249	351745	1487014	20.26
1942	60-64	0.02504	0.11832	2.67	67134	7943	317167	1135268	16.91
1942	65-69	0.03521	0.16216	2.57	59191	9598	272586	818102	13.82
1942	70-74	0.05210	0.23145	2.59	49593	11478	220297	545516	11.00
1942	75-79	0.07790	0.32847	2.62	38115	12520	160721	325219	8.53
1942	80-84	0.12564	0.47411	2.41	25595	12135	96583	164498	6.43
1942	85-89	0.17794	0.59893	2.27	13460	8062	45307	67915	5.05
1942	90-94	0.21946	0.66824	2.07	5398	3608	16438	22608	4.19
1942	95-99	0.27459	0.75781	2.04	1791	1357	4943	6170	3.44
1942	100-104	0.34208	0.83112	1.91	434	361	1054	1227	2.83
1942	105-109	0.41680	0.88721	1.76	73	65	156	173	2.36
1942	110+	0.47823	1.00000	2.09	8	8	17	17	2.09
1943	0	0.05059	0.04859	0.19	100000	4859	96055	6348902	63.49
1943	1-4	0.00300	0.01191	1.47	95141	1133	377698	6252847	65.72
