PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg3,f,1941,0,0.05571,0.05335,0.21,100000,5335,95780,6404756,64.05
Reg3,f,1941,1,0.00765,0.00762,0.5,94665,721,94304,6308976,66.65
Reg3,f,1941,2,0.00328,0.00327,0.5,93943,308,93789,6214672,66.15
Reg3,f,1941,3,0.00214,0.00214,0.5,93636,200,93535,6120883,65.37
Reg3,f,1941,4,0.00154,0.00154,0.5,93435,143,93364,6027347,64.51
Reg3,f,1941,5,0.00125,0.00125,0.5,93292,116,93234,5933984,63.61
Reg3,f,1941,6,0.00110,0.00110,0.5,93176,103,93124,5840750,62.69
Reg3,f,1941,7,0.00100,0.00100,0.5,93073,93,93027,5747626,61.75
Reg3,f,1941,8,0.00091,0.00091,0.5,92980,84,92938,5654599,60.82
Reg3,f,1941,9,0.00081,0.00081,0.5,92896,76,92858,5561661,59.87
Reg3,f,1941,10,0.00076,0.00076,0.5,92820,71,92785,5468803,58.92
Reg3,f,1941,11,0.00078,0.00078,0.5,92749,72,92713,5376018,57.96
Reg3,f,1941,12,0.00088,0.00087,0.5,92677,81,92636,5283305,57.01
Reg3,f,1941,13,0.00102,0.00102,0.5,92596,95,92549,5190669,56.06
Reg3,f,1941,14,0.00124,0.00124,0.5,92501,115,92444,5098120,55.11
Reg3,f,1941,15,0.00155,0.00155,0.5,92386,143,92315,5005676,54.18
Reg3,f,1941,16,0.00182,0.00182,0.5,92243,168,92159,4913362,53.27
Reg3,f,1941,17,0.00203,0.00203,0.5,92076,187,91982,4821202,52.36
Reg3,f,1941,18,0.00223,0.00223,0.5,91889,205,91787,4729220,51.47
Reg3,f,1941,19,0.00233,0.00232,0.5,91684,213,91578,4637433,50.58
Reg3,f,1941,20,0.00245,0.00244,0.5,91471,224,91359,4545856,49.70
Reg3,f,1941,21,0.00262,0.00262,0.5,91247,239,91128,4454497,48.82
Reg3,f,1941,22,0.00278,0.00278,0.5,91009,253,90882,4363368,47.94
Reg3,f,1941,23,0.00294,0.00294,0.5,90756,267,90623,4272486,47.08
Reg3,f,1941,24,0.00297,0.00297,0.5,90489,269,90355,4181863,46.21
