Reg3: Reg3, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05571	0.05335	0.21	100000	5335	95780	6404756	64.05
1941	1-4	0.00366	0.01450	1.33	94665	1373	374992	6308976	66.65
1941	5-9	0.00101	0.00506	2.29	93292	472	465181	5933984	63.61
1941	10-14	0.00094	0.00468	2.75	92820	434	463127	5468803	58.92
1941	15-19	0.00199	0.00991	2.69	92386	915	459821	5005676	54.18
1941	20-24	0.00275	0.01367	2.59	91471	1251	454347	4545856	49.70
1941	25-29	0.00312	0.01551	2.55	90221	1399	447676	4091509	45.35
1941	30-34	0.00385	0.01909	2.62	88822	1696	440068	3643833	41.02
1941	35-39	0.00489	0.02417	2.59	87126	2106	430549	3203765	36.77
1941	40-44	0.00630	0.03104	2.68	85020	2639	418978	2773216	32.62
1941	45-49	0.00838	0.04106	2.59	82381	3383	403756	2354238	28.58
1941	50-54	0.01172	0.05706	2.67	78998	4508	384474	1950482	24.69
1941	55-59	0.01520	0.07329	2.58	74491	5459	359228	1566008	21.02
1941	60-64	0.02166	0.10315	2.7	69031	7121	328761	1206781	17.48
1941	65-69	0.03111	0.14491	2.64	61911	8972	288352	878020	14.18
1941	70-74	0.04908	0.21979	2.62	52939	11636	237057	589668	11.14
1941	75-79	0.07838	0.32977	2.6	41303	13620	173776	352611	8.54
1941	80-84	0.12293	0.46732	2.44	27683	12937	105233	178836	6.46
1941	85-89	0.18047	0.60429	2.27	14746	8911	49376	73603	4.99
1941	90-94	0.22111	0.67178	2.08	5835	3920	17729	24227	4.15
1941	95-99	0.27898	0.76371	2.04	1915	1463	5243	6498	3.39
1941	100-104	0.34927	0.83779	1.9	453	379	1086	1255	2.77
1941	105-109	0.42670	0.89331	1.75	73	66	154	170	2.31
1941	110+	0.49024	1.00000	2.04	8	8	16	16	2.04
1942	0	0.04676	0.04504	0.18	100000	4504	96324	6589511	65.90
1942	1-4	0.00294	0.01166	1.45	95496	1114	379146	6493187	67.99
1942	5-9	0.00086	0.00429	2.2	94382	405	470776	6114041	64.78
1942	10-14	0.00079	0.00397	2.78	93977	373	469059	5643264	60.05
1942	15-19	0.00169	0.00840	2.73	93605	786	466238	5174205	55.28
1942	20-24	0.00247	0.01225	2.62	92819	1137	461382	4707968	50.72
1942	25-29	0.00283	0.01406	2.53	91681	1289	455222	4246586	46.32
1942	30-34	0.00337	0.01673	2.62	90392	1513	448368	3791364	41.94
1942	35-39	0.00464	0.02295	2.62	88879	2040	439549	3342996	37.61
1942	40-44	0.00589	0.02902	2.64	86840	2520	428250	2903447	33.43
1942	45-49	0.00777	0.03812	2.6	84319	3214	413885	2475196	29.36
1942	50-54	0.01068	0.05208	2.66	81105	4224	395656	2061311	25.42
1942	55-59	0.01443	0.06971	2.58	76881	5359	371434	1665656	21.67
1942	60-64	0.02049	0.09784	2.69	71522	6998	341469	1294222	18.10
1942	65-69	0.02965	0.13835	2.59	64524	8927	301095	952753	14.77
1942	70-74	0.04552	0.20538	2.62	55597	11418	250837	651658	11.72
1942	75-79	0.07027	0.30134	2.64	44179	13313	189458	400821	9.07
1942	80-84	0.11426	0.44217	2.44	30866	13648	119450	211363	6.85
1942	85-89	0.16488	0.57075	2.3	17218	9827	59602	91913	5.34
1942	90-94	0.20821	0.65016	2.11	7391	4805	23078	32311	4.37
1942	95-99	0.26308	0.74295	2.07	2586	1921	7302	9233	3.57
1942	100-104	0.33184	0.82194	1.93	665	546	1646	1931	2.91
1942	105-109	0.40847	0.88227	1.78	118	104	256	285	2.41
1942	110+	0.47152	1.00000	2.12	14	14	30	30	2.12
