PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg4,m,1959,0,0.02918,0.02845,0.12,100000,2845,97506,6753658,67.54
Reg4,m,1959,1,0.00181,0.00181,0.5,97155,176,97067,6656153,68.51
Reg4,m,1959,2,0.00119,0.00119,0.5,96979,115,96922,6559086,67.63
Reg4,m,1959,3,0.00091,0.00091,0.5,96864,88,96820,6462164,66.71
Reg4,m,1959,4,0.00081,0.00081,0.5,96776,79,96736,6365345,65.77
Reg4,m,1959,5,0.00074,0.00074,0.5,96697,71,96661,6268608,64.83
Reg4,m,1959,6,0.00061,0.00061,0.5,96626,59,96596,6171947,63.87
Reg4,m,1959,7,0.00049,0.00049,0.5,96566,48,96543,6075351,62.91
Reg4,m,1959,8,0.00040,0.00040,0.5,96519,39,96499,5978808,61.94
Reg4,m,1959,9,0.00039,0.00039,0.5,96480,38,96461,5882309,60.97
Reg4,m,1959,10,0.00047,0.00047,0.5,96442,45,96419,5785848,59.99
Reg4,m,1959,11,0.00049,0.00049,0.5,96397,47,96373,5689429,59.02
Reg4,m,1959,12,0.00051,0.00051,0.5,96350,49,96325,5593055,58.05
Reg4,m,1959,13,0.00065,0.00065,0.5,96301,62,96270,5496730,57.08
Reg4,m,1959,14,0.00081,0.00080,0.5,96239,77,96200,5400460,56.12
Reg4,m,1959,15,0.00099,0.00099,0.5,96161,95,96114,5304260,55.16
Reg4,m,1959,16,0.00105,0.00105,0.5,96066,101,96016,5208146,54.21
Reg4,m,1959,17,0.00138,0.00138,0.5,95966,132,95900,5112130,53.27
Reg4,m,1959,18,0.00147,0.00147,0.5,95834,140,95763,5016231,52.34
Reg4,m,1959,19,0.00166,0.00165,0.5,95693,158,95614,4920467,51.42
Reg4,m,1959,20,0.00180,0.00180,0.5,95535,172,95449,4824853,50.50
Reg4,m,1959,21,0.00203,0.00203,0.5,95363,193,95266,4729404,49.59
Reg4,m,1959,22,0.00171,0.00171,0.5,95170,163,95088,4634138,48.69
Reg4,m,1959,23,0.00177,0.00177,0.5,95007,168,94923,4539049,47.78
Reg4,m,1959,24,0.00168,0.00168,0.5,94839,159,94760,4444126,46.86
Reg4,m,1959,25,0.00166,0.00166,0.5,94680,157,94602,4349367,45.94
Reg4,m,1959,26,0.00171,0.00170,0.5,94523,161,94443,4254765,45.01
