PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg4,b,1941,0,0.04587,0.04420,0.18,100000,4420,96355,6487408,64.87
Reg4,b,1941,1,0.00569,0.00567,0.5,95580,542,95309,6391053,66.87
Reg4,b,1941,2,0.00271,0.00271,0.5,95038,258,94909,6295744,66.24
Reg4,b,1941,3,0.00184,0.00184,0.5,94781,174,94693,6200834,65.42
Reg4,b,1941,4,0.00134,0.00134,0.5,94606,127,94543,6106141,64.54
Reg4,b,1941,5,0.00116,0.00116,0.5,94479,109,94424,6011598,63.63
Reg4,b,1941,6,0.00109,0.00109,0.5,94370,103,94318,5917174,62.70
Reg4,b,1941,7,0.00104,0.00104,0.5,94267,98,94218,5822856,61.77
Reg4,b,1941,8,0.00099,0.00099,0.5,94168,93,94122,5728639,60.83
Reg4,b,1941,9,0.00092,0.00092,0.5,94075,86,94032,5634517,59.89
Reg4,b,1941,10,0.00087,0.00087,0.5,93989,82,93948,5540484,58.95
Reg4,b,1941,11,0.00088,0.00088,0.5,93907,82,93866,5446536,58.00
Reg4,b,1941,12,0.00095,0.00095,0.5,93825,89,93780,5352670,57.05
Reg4,b,1941,13,0.00105,0.00105,0.5,93736,98,93687,5258890,56.10
Reg4,b,1941,14,0.00121,0.00120,0.5,93638,113,93581,5165203,55.16
Reg4,b,1941,15,0.00140,0.00140,0.5,93525,131,93460,5071622,54.23
Reg4,b,1941,16,0.00156,0.00156,0.5,93394,146,93322,4978162,53.30
Reg4,b,1941,17,0.00171,0.00171,0.5,93249,159,93169,4884841,52.39
Reg4,b,1941,18,0.00186,0.00185,0.5,93089,173,93003,4791671,51.47
Reg4,b,1941,19,0.00194,0.00194,0.5,92917,180,92827,4698668,50.57
Reg4,b,1941,20,0.00204,0.00204,0.5,92737,189,92642,4605842,49.67
Reg4,b,1941,21,0.00220,0.00220,0.5,92548,203,92446,4513199,48.77
Reg4,b,1941,22,0.00229,0.00229,0.5,92344,211,92239,4420753,47.87
Reg4,b,1941,23,0.00236,0.00236,0.5,92133,217,92024,4328514,46.98
Reg4,b,1941,24,0.00240,0.00239,0.5,91916,220,91806,4236490,46.09
Reg4,b,1941,25,0.00238,0.00238,0.5,91696,218,91587,4144684,45.20
Reg4,b,1941,26,0.00235,0.00235,0.5,91478,215,91370,4053097,44.31
Reg4,b,1941,27,0.00236,0.00236,0.5,91263,215,91155,3961727,43.41
Reg4,b,1941,28,0.00242,0.00242,0.5,91048,220,90937,3870572,42.51
Reg4,b,1941,29,0.00247,0.00246,0.5,90827,224,90715,3779634,41.61
Reg4,b,1941,30,0.00251,0.00251,0.5,90603,228,90490,3688919,40.72
Reg4,b,1941,31,0.00259,0.00259,0.5,90376,234,90259,3598429,39.82
Reg4,b,1941,32,0.00281,0.00281,0.5,90142,253,90015,3508170,38.92
Reg4,b,1941,33,0.00302,0.00301,0.5,89889,271,89753,3418155,38.03
Reg4,b,1941,34,0.00322,0.00321,0.5,89618,288,89474,3328402,37.14
Reg4,b,1941,35,0.00352,0.00352,0.5,89330,314,89173,3238928,36.26
Reg4,b,1941,36,0.00369,0.00368,0.5,89016,328,88852,3149756,35.38
Reg4,b,1941,37,0.00397,0.00397,0.5,88688,352,88512,3060904,34.51
Reg4,b,1941,38,0.00437,0.00436,0.5,88336,386,88144,2972392,33.65
