Reg4: Reg4, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04587	0.04420	0.18	100000	4420	96355	6487408	64.87
1941	1-4	0.00290	0.01152	1.4	95580	1101	379454	6391053	66.87
1941	5-9	0.00104	0.00519	2.39	94479	490	471114	6011598	63.63
1941	10-14	0.00099	0.00494	2.67	93989	464	468863	5540484	58.95
1941	15-19	0.00169	0.00843	2.66	93525	788	465780	5071622	54.23
1941	20-24	0.00226	0.01123	2.57	92737	1041	461157	4605842	49.67
1941	25-29	0.00240	0.01191	2.52	91696	1092	455765	4144684	45.20
1941	30-34	0.00283	0.01406	2.62	90603	1274	449990	3688919	40.72
1941	35-39	0.00401	0.01987	2.62	89330	1775	442433	3238928	36.26
1941	40-44	0.00534	0.02635	2.68	87555	2307	432426	2796495	31.94
1941	45-49	0.00818	0.04013	2.62	85248	3421	418113	2364069	27.73
1941	50-54	0.01148	0.05590	2.63	81827	4574	398283	1945956	23.78
1941	55-59	0.01650	0.07939	2.63	77253	6133	371708	1547673	20.03
1941	60-64	0.02462	0.11630	2.63	71120	8271	336000	1175965	16.53
1941	65-69	0.03623	0.16680	2.63	62848	10483	289379	839965	13.36
1941	70-74	0.05603	0.24662	2.57	52365	12914	230476	550586	10.51
1941	75-79	0.08698	0.35828	2.54	39451	14135	162504	320110	8.11
1941	80-84	0.12616	0.47641	2.43	25317	12061	95604	157606	6.23
1941	85-89	0.18625	0.61714	2.27	13255	8181	43922	62001	4.68
1941	90-94	0.25964	0.73853	2.08	5075	3748	14435	18079	3.56
1941	95-99	0.34997	0.84171	1.92	1327	1117	3191	3644	2.75
1941	100-104	0.45598	0.91170	1.71	210	192	420	452	2.15
1941	105-109	0.56726	0.95241	1.51	19	18	31	32	1.75
1941	110+	0.65673	1.00000	1.52	1	1	1	1	1.52
1942	0	0.04447	0.04289	0.17	100000	4289	96447	6491895	64.92
1942	1-4	0.00288	0.01142	1.48	95711	1093	380094	6395448	66.82
1942	5-9	0.00108	0.00538	2.31	94618	509	471719	6015354	63.58
1942	10-14	0.00090	0.00447	2.65	94109	421	469555	5543635	58.91
1942	15-19	0.00165	0.00821	2.72	93688	769	466687	5074080	54.16
1942	20-24	0.00238	0.01183	2.57	92919	1099	461920	4607393	49.59
1942	25-29	0.00237	0.01177	2.5	91820	1081	456393	4145473	45.15
1942	30-34	0.00287	0.01426	2.62	90739	1294	450614	3689080	40.66
1942	35-39	0.00398	0.01973	2.65	89445	1764	443073	3238467	36.21
1942	40-44	0.00562	0.02773	2.66	87681	2431	432709	2795394	31.88
1942	45-49	0.00824	0.04040	2.63	85249	3444	418099	2362685	27.71
1942	50-54	0.01185	0.05763	2.63	81805	4714	397869	1944586	23.77
1942	55-59	0.01676	0.08060	2.61	77091	6213	370626	1546717	20.06
1942	60-64	0.02455	0.11601	2.64	70878	8223	335009	1176091	16.59
1942	65-69	0.03641	0.16753	2.62	62655	10497	288328	841082	13.42
1942	70-74	0.05561	0.24489	2.57	52158	12773	229709	552754	10.60
1942	75-79	0.08457	0.35063	2.56	39385	13809	163290	323045	8.20
1942	80-84	0.12538	0.47415	2.43	25576	12127	96722	159755	6.25
1942	85-89	0.18770	0.62097	2.28	13449	8351	44494	63033	4.69
1942	90-94	0.25226	0.72751	2.09	5098	3709	14702	18539	3.64
1942	95-99	0.34767	0.83966	1.92	1389	1166	3355	3837	2.76
1942	100-104	0.45308	0.91024	1.71	223	203	447	483	2.17
1942	105-109	0.56399	0.95151	1.52	20	19	34	35	1.76
1942	110+	0.65334	1.00000	1.53	1	1	1	1	1.53
1943	0	0.04250	0.04105	0.17	100000	4105	96579	6481931	64.82
1943	1-4	0.00285	0.01130	1.53	95895	1084	380904	6385353	66.59
1943	5-9	0.00115	0.00572	2.34	94812	542	472615	6004449	63.33
1943	10-14	0.00106	0.00530	2.62	94270	500	470156	5531834	58.68
1943	15-19	0.00183	0.00912	2.75	93770	855	466923	5061678	53.98
1943	20-24	0.00285	0.01413	2.55	92915	1313	461362	4594755	49.45
1943	25-29	0.00262	0.01303	2.43	91602	1193	454939	4133393	45.12
1943	30-34	0.00282	0.01399	2.61	90409	1264	449018	3678454	40.69
1943	35-39	0.00407	0.02017	2.63	89144	1798	441458	3229436	36.23
1943	40-44	0.00548	0.02702	2.59	87347	2360	431049	2787978	31.92
1943	45-49	0.00810	0.03972	2.63	84986	3375	416924	2356929	27.73
1943	50-54	0.01171	0.05696	2.61	81611	4649	396966	1940005	23.77
1943	55-59	0.01681	0.08079	2.59	76962	6218	369834	1543039	20.05
1943	60-64	0.02469	0.11656	2.6	70744	8246	333933	1173205	16.58
1943	65-69	0.03596	0.16532	2.56	62498	10332	287322	839272	13.43
1943	70-74	0.05583	0.24543	2.54	52166	12803	229326	551950	10.58
1943	75-79	0.08321	0.34358	2.47	39363	13524	162533	322624	8.20
1943	80-84	0.12490	0.47233	2.42	25839	12204	97709	160091	6.20
1943	85-89	0.18947	0.62672	2.3	13634	8545	45100	62382	4.58
1943	90-94	0.27367	0.75434	2.03	5089	3839	14028	17282	3.40
1943	95-99	0.37089	0.85965	1.88	1250	1075	2898	3254	2.60
1943	100-104	0.48559	0.92560	1.66	175	162	334	356	2.03
1943	105-109	0.60281	0.96127	1.46	13	13	21	22	1.65
1943	110+	0.69498	1.00000	1.44	1	1	1	1	1.44
1944	0	0.04020	0.03888	0.16	100000	3888	96734	6553956	65.54
1944	1-4	0.00250	0.00996	1.55	96112	957	382104	6457221	67.18
1944	5-9	0.00106	0.00526	2.29	95155	501	474419	6075117	63.84
1944	10-14	0.00100	0.00499	2.63	94654	473	472152	5600698	59.17
1944	15-19	0.00181	0.00900	2.77	94181	848	469012	5128546	54.45
1944	20-24	0.00277	0.01377	2.51	93334	1285	463473	4659534	49.92
1944	25-29	0.00238	0.01183	2.43	92049	1089	457444	4196061	45.59
1944	30-34	0.00267	0.01327	2.61	90959	1207	451908	3738616	41.10
1944	35-39	0.00383	0.01899	2.64	89753	1704	444739	3286708	36.62
1944	40-44	0.00532	0.02625	2.57	88049	2311	434620	2841970	32.28
1944	45-49	0.00771	0.03784	2.62	85738	3244	420968	2407350	28.08
1944	50-54	0.01100	0.05360	2.61	82493	4422	401889	1986382	24.08
1944	55-59	0.01609	0.07744	2.59	78071	6046	375814	1584493	20.30
1944	60-64	0.02345	0.11099	2.6	72025	7994	340929	1208679	16.78
1944	65-69	0.03528	0.16240	2.55	64031	10399	294710	867750	13.55
1944	70-74	0.05481	0.24147	2.54	53632	12950	236294	573041	10.68
1944	75-79	0.08230	0.34000	2.44	40682	13832	168059	336746	8.28
1944	80-84	0.12278	0.46628	2.42	26850	12520	101967	168687	6.28
1944	85-89	0.18683	0.62149	2.31	14330	8906	47670	66721	4.66
1944	90-94	0.26255	0.73654	2.02	5424	3995	15217	19050	3.51
1944	95-99	0.35888	0.84968	1.9	1429	1214	3383	3834	2.68
1944	100-104	0.46931	0.91826	1.69	215	197	420	450	2.10
1944	105-109	0.58358	0.95670	1.49	18	17	29	30	1.70
1944	110+	0.67440	1.00000	1.48	1	1	1	1	1.48
1945	0	0.03928	0.03802	0.16	100000	3802	96796	6598082	65.98
1945	1-4	0.00226	0.00901	1.57	96198	866	382681	6501287	67.58
1945	5-9	0.00103	0.00514	2.35	95331	490	475357	6118606	64.18
1945	10-14	0.00101	0.00503	2.64	94841	477	473078	5643249	59.50
1945	15-19	0.00168	0.00839	2.7	94364	792	469999	5170171	54.79
1945	20-24	0.00226	0.01126	2.52	93572	1053	465247	4700172	50.23
1945	25-29	0.00228	0.01135	2.51	92519	1050	459982	4234925	45.77
1945	30-34	0.00261	0.01296	2.61	91469	1186	454504	3774943	41.27
1945	35-39	0.00376	0.01862	2.66	90283	1681	447481	3320439	36.78
1945	40-44	0.00544	0.02683	2.62	88602	2377	437345	2872959	32.43
1945	45-49	0.00789	0.03875	2.66	86224	3341	423300	2435613	28.25
1945	50-54	0.01115	0.05431	2.62	82883	4501	403703	2012313	24.28
1945	55-59	0.01625	0.07820	2.62	78382	6130	377310	1608609	20.52
1945	60-64	0.02296	0.10887	2.63	72252	7866	342593	1231300	17.04
1945	65-69	0.03495	0.16113	2.59	64386	10375	296880	888707	13.80
1945	70-74	0.05260	0.23333	2.58	54011	12603	239587	591827	10.96
1945	75-79	0.08105	0.33716	2.51	41409	13962	172252	352240	8.51
1945	80-84	0.11626	0.44733	2.42	27447	12278	105603	179988	6.56
1945	85-89	0.17298	0.59168	2.33	15169	8975	51887	74385	4.90
1945	90-94	0.25329	0.72794	2.08	6194	4509	17801	22497	3.63
1945	95-99	0.34389	0.83686	1.93	1685	1410	4101	4696	2.79
1945	100-104	0.45336	0.91076	1.72	275	250	552	595	2.16
1945	105-109	0.56829	0.95287	1.51	25	23	41	43	1.75
1945	110+	0.66034	1.00000	1.51	1	1	2	2	1.51
1946	0	0.03770	0.03653	0.15	100000	3653	96906	6665527	66.66
1946	1-4	0.00200	0.00797	1.56	96347	768	383511	6568621	68.18
1946	5-9	0.00089	0.00442	2.33	95579	422	476765	6185110	64.71
1946	10-14	0.00085	0.00423	2.68	95156	402	474846	5708345	59.99
1946	15-19	0.00150	0.00747	2.72	94754	708	472156	5233499	55.23
1946	20-24	0.00206	0.01023	2.52	94046	962	467843	4761343	50.63
1946	25-29	0.00210	0.01042	2.56	93083	970	463051	4293500	46.13
1946	30-34	0.00259	0.01286	2.6	92113	1184	457719	3830449	41.58
1946	35-39	0.00348	0.01725	2.65	90929	1568	450955	3372730	37.09
1946	40-44	0.00529	0.02612	2.66	89361	2334	441332	2921775	32.70
1946	45-49	0.00755	0.03709	2.68	87027	3228	427649	2480444	28.50
1946	50-54	0.01106	0.05388	2.62	83799	4515	408236	2052795	24.50
1946	55-59	0.01575	0.07592	2.63	79284	6019	382137	1644559	20.74
1946	60-64	0.02252	0.10689	2.63	73265	7831	347745	1262422	17.23
1946	65-69	0.03385	0.15653	2.6	65433	10242	302560	914677	13.98
1946	70-74	0.05067	0.22596	2.61	55191	12471	246142	612117	11.09
1946	75-79	0.08072	0.33634	2.52	42720	14369	178008	365975	8.57
1946	80-84	0.11215	0.43558	2.44	28352	12349	110117	187967	6.63
1946	85-89	0.17548	0.59809	2.34	16002	9571	54542	77851	4.86
1946	90-94	0.25228	0.72559	2.07	6431	4667	18498	23309	3.62
1946	95-99	0.35201	0.84455	1.92	1765	1490	4234	4811	2.73
1946	100-104	0.46711	0.91772	1.69	274	252	539	577	2.10
1946	105-109	0.58647	0.95766	1.48	23	22	37	38	1.70
1946	110+	0.68106	1.00000	1.47	1	1	1	1	1.47
1947	0	0.03463	0.03364	0.14	100000	3364	97123	6730349	67.30
1947	1-4	0.00167	0.00667	1.63	96636	645	385020	6633225	68.64
1947	5-9	0.00081	0.00403	2.3	95991	387	478913	6248206	65.09
1947	10-14	0.00078	0.00388	2.76	95605	371	477192	5769293	60.35
1947	15-19	0.00146	0.00725	2.67	95234	691	474556	5292101	55.57
1947	20-24	0.00179	0.00889	2.51	94543	840	470626	4817545	50.96
1947	25-29	0.00191	0.00948	2.57	93703	889	466351	4346919	46.39
1947	30-34	0.00231	0.01148	2.59	92814	1065	461507	3880568	41.81
1947	35-39	0.00326	0.01618	2.66	91749	1485	455271	3419061	37.27
1947	40-44	0.00497	0.02458	2.67	90264	2219	446149	2963790	32.83
1947	45-49	0.00721	0.03547	2.67	88045	3123	432948	2517641	28.59
1947	50-54	0.01078	0.05256	2.63	84922	4463	414038	2084693	24.55
1947	55-59	0.01560	0.07523	2.64	80459	6053	387979	1670656	20.76
1947	60-64	0.02224	0.10559	2.61	74406	7857	353251	1282676	17.24
1947	65-69	0.03398	0.15720	2.62	66549	10462	307842	929425	13.97
1947	70-74	0.05110	0.22757	2.6	56087	12764	249786	621583	11.08
1947	75-79	0.07976	0.33294	2.52	43324	14424	180842	371797	8.58
