Reg4: Reg4, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03714	0.03601	0.16	100000	3601	96964	6861330	68.61
1941-1944	1	0.00457	0.00456	0.5	96399	440	96179	6764366	70.17
1941-1944	2	0.00245	0.00245	0.5	95959	235	95841	6668188	69.49
1941-1944	3	0.00174	0.00174	0.5	95724	166	95641	6572346	68.66
1941-1944	4	0.00136	0.00136	0.5	95558	130	95493	6476705	67.78
1941-1944	5	0.00114	0.00114	0.5	95428	108	95374	6381212	66.87
1941-1944	6	0.00100	0.00100	0.5	95320	95	95272	6285838	65.94
1941-1944	7	0.00089	0.00089	0.5	95225	85	95182	6190566	65.01
1941-1944	8	0.00081	0.00081	0.5	95140	77	95101	6095384	64.07
1941-1944	9	0.00074	0.00074	0.5	95063	71	95028	6000283	63.12
1941-1944	10	0.00071	0.00071	0.5	94992	67	94959	5905255	62.17
1941-1944	11	0.00070	0.00070	0.5	94925	67	94892	5810296	61.21
1941-1944	12	0.00074	0.00074	0.5	94858	70	94824	5715405	60.25
1941-1944	13	0.00081	0.00081	0.5	94789	77	94750	5620581	59.30
1941-1944	14	0.00092	0.00092	0.5	94712	87	94669	5525831	58.34
1941-1944	15	0.00105	0.00105	0.5	94625	100	94575	5431162	57.40
1941-1944	16	0.00117	0.00117	0.5	94526	111	94470	5336587	56.46
1941-1944	17	0.00128	0.00128	0.5	94415	121	94354	5242117	55.52
1941-1944	18	0.00138	0.00137	0.5	94294	130	94229	5147763	54.59
1941-1944	19	0.00145	0.00145	0.5	94164	137	94096	5053534	53.67
1941-1944	20	0.00153	0.00153	0.5	94027	144	93956	4959438	52.74
1941-1944	21	0.00160	0.00160	0.5	93884	150	93809	4865482	51.82
1941-1944	22	0.00166	0.00166	0.5	93733	156	93655	4771673	50.91
1941-1944	23	0.00173	0.00172	0.5	93577	161	93497	4678018	49.99
1941-1944	24	0.00178	0.00177	0.5	93416	166	93333	4584521	49.08
1941-1944	25	0.00181	0.00181	0.5	93250	168	93166	4491188	48.16
1941-1944	26	0.00183	0.00183	0.5	93082	170	92997	4398022	47.25
1941-1944	27	0.00186	0.00186	0.5	92912	173	92825	4305025	46.33
1941-1944	28	0.00191	0.00191	0.5	92739	177	92651	4212200	45.42
1941-1944	29	0.00197	0.00197	0.5	92562	182	92471	4119549	44.51
1941-1944	30	0.00206	0.00206	0.5	92380	190	92285	4027078	43.59
1941-1944	31	0.00217	0.00216	0.5	92190	199	92090	3934794	42.68
1941-1944	32	0.00229	0.00229	0.5	91990	210	91885	3842704	41.77
1941-1944	33	0.00243	0.00243	0.5	91780	223	91668	3750819	40.87
1941-1944	34	0.00260	0.00260	0.5	91557	238	91438	3659150	39.97
1941-1944	35	0.00280	0.00280	0.5	91319	256	91191	3567713	39.07
1941-1944	36	0.00297	0.00296	0.5	91063	270	90928	3476522	38.18
1941-1944	37	0.00314	0.00314	0.5	90793	285	90651	3385593	37.29
1941-1944	38	0.00336	0.00335	0.5	90509	304	90357	3294942	36.40
1941-1944	39	0.00353	0.00353	0.5	90205	318	90046	3204586	35.53
1941-1944	40	0.00367	0.00367	0.5	89887	330	89722	3114540	34.65
1941-1944	41	0.00379	0.00379	0.5	89557	339	89388	3024818	33.78
1941-1944	42	0.00399	0.00398	0.5	89218	355	89040	2935430	32.90
1941-1944	43	0.00427	0.00426	0.5	88863	379	88673	2846390	32.03
1941-1944	44	0.00465	0.00464	0.5	88484	410	88279	2757716	31.17
1941-1944	45	0.00517	0.00516	0.5	88074	454	87847	2669437	30.31
1941-1944	46	0.00554	0.00553	0.5	87620	484	87378	2581590	29.46
1941-1944	47	0.00588	0.00587	0.5	87136	511	86880	2494213	28.62
1941-1944	48	0.00631	0.00630	0.5	86624	545	86352	2407333	27.79
1941-1944	49	0.00671	0.00669	0.5	86079	576	85791	2320981	26.96
1941-1944	50	0.00717	0.00715	0.5	85504	611	85198	2235190	26.14
1941-1944	51	0.00758	0.00755	0.5	84893	641	84572	2149992	25.33
1941-1944	52	0.00808	0.00805	0.5	84251	678	83913	2065420	24.51
1941-1944	53	0.00871	0.00867	0.5	83574	724	83211	1981507	23.71
1941-1944	54	0.00935	0.00931	0.5	82849	771	82463	1898296	22.91
1941-1944	55	0.01015	0.01010	0.5	82078	829	81664	1815832	22.12
1941-1944	56	0.01083	0.01077	0.5	81249	875	80812	1734169	21.34
1941-1944	57	0.01152	0.01145	0.5	80374	920	79914	1653357	20.57
1941-1944	58	0.01247	0.01239	0.5	79454	984	78962	1573443	19.80
1941-1944	59	0.01348	0.01339	0.5	78470	1050	77945	1494481	19.05
1941-1944	60	0.01473	0.01462	0.5	77420	1132	76854	1416536	18.30
1941-1944	61	0.01600	0.01587	0.5	76288	1211	75682	1339683	17.56
1941-1944	62	0.01744	0.01729	0.5	75077	1298	74428	1264000	16.84
1941-1944	63	0.01935	0.01916	0.5	73779	1414	73072	1189572	16.12
1941-1944	64	0.02125	0.02103	0.5	72365	1522	71604	1116501	15.43
