Reg4: Reg4, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04030	0.03899	0.17	100000	3899	96748	6819493	68.19
1941	1-4	0.00271	0.01076	1.37	96101	1034	381683	6722745	69.95
1941	5-9	0.00089	0.00442	2.41	95067	420	474245	6341062	66.70
1941	10-14	0.00081	0.00405	2.64	94647	384	472327	5866817	61.99
1941	15-19	0.00132	0.00659	2.64	94263	621	469850	5394490	57.23
1941	20-24	0.00171	0.00853	2.59	93642	799	466284	4924640	52.59
1941	25-29	0.00195	0.00969	2.54	92844	900	462003	4458356	48.02
1941	30-34	0.00231	0.01147	2.61	91944	1055	457198	3996353	43.47
1941	35-39	0.00315	0.01565	2.62	90889	1422	451060	3539155	38.94
1941	40-44	0.00415	0.02058	2.67	89467	1841	443053	3088095	34.52
1941	45-49	0.00609	0.03000	2.61	87626	2629	431838	2645041	30.19
1941	50-54	0.00825	0.04047	2.64	84997	3440	416860	2213203	26.04
1941	55-59	0.01192	0.05796	2.64	81557	4727	396631	1796343	22.03
1941	60-64	0.01802	0.08646	2.66	76830	6643	368627	1399712	18.22
1941	65-69	0.02764	0.12982	2.67	70187	9112	329674	1031085	14.69
1941	70-74	0.04577	0.20653	2.64	61075	12614	275566	701411	11.48
1941	75-79	0.07661	0.32326	2.59	48462	15666	204482	425846	8.79
1941	80-84	0.10983	0.42950	2.46	32796	14086	128252	221364	6.75
1941	85-89	0.16833	0.58098	2.33	18710	10870	64575	93112	4.98
1941	90-94	0.25319	0.73213	2.12	7840	5740	22670	28537	3.64
1941	95-99	0.34258	0.83616	1.94	2100	1756	5126	5867	2.79
1941	100-104	0.45571	0.91224	1.71	344	314	689	741	2.15
1941	105-109	0.57404	0.95454	1.5	30	29	50	52	1.73
1941	110+	0.66837	1.00000	1.5	1	1	2	2	1.50
1942	0	0.03882	0.03759	0.16	100000	3759	96849	6849503	68.50
1942	1-4	0.00267	0.01061	1.47	96241	1021	382383	6752655	70.16
1942	5-9	0.00091	0.00452	2.19	95219	430	474887	6370271	66.90
1942	10-14	0.00069	0.00342	2.69	94789	325	473198	5895384	62.19
1942	15-19	0.00127	0.00633	2.68	94465	598	470936	5422186	57.40
1942	20-24	0.00167	0.00830	2.58	93867	779	467446	4951250	52.75
1942	25-29	0.00184	0.00915	2.53	93088	852	463340	4483804	48.17
1942	30-34	0.00226	0.01124	2.61	92236	1037	458701	4020464	43.59
1942	35-39	0.00301	0.01493	2.63	91200	1362	452775	3561763	39.05
1942	40-44	0.00411	0.02035	2.66	89838	1828	444904	3108988	34.61
1942	45-49	0.00595	0.02933	2.63	88010	2581	433933	2664084	30.27
1942	50-54	0.00832	0.04078	2.63	85429	3484	418895	2230151	26.11
1942	55-59	0.01156	0.05627	2.63	81945	4611	398802	1811256	22.10
1942	60-64	0.01774	0.08520	2.69	77335	6589	371423	1412455	18.26
1942	65-69	0.02796	0.13121	2.66	70746	9282	332007	1041032	14.72
1942	70-74	0.04560	0.20570	2.62	61464	12643	277259	709025	11.54
1942	75-79	0.07395	0.31412	2.6	48820	15335	207368	431766	8.84
1942	80-84	0.11079	0.43268	2.47	33485	14488	130770	224397	6.70
1942	85-89	0.17397	0.59387	2.33	18997	11282	64848	93628	4.93
1942	90-94	0.24368	0.71583	2.12	7715	5523	22664	28779	3.73
