PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg4,f,1941-1949,0,0.03266,0.03177,0.14,100000,3177,97282,6992135,69.92
Reg4,f,1941-1949,1-4,0.00196,0.00778,1.53,96823,754,385428,6894853,71.21
Reg4,f,1941-1949,5-9,0.00077,0.00383,2.3,96069,368,479353,6509425,67.76
Reg4,f,1941-1949,10-14,0.00068,0.00338,2.66,95701,324,477750,6030071,63.01
Reg4,f,1941-1949,15-19,0.00115,0.00572,2.66,95378,546,475611,5552321,58.21
Reg4,f,1941-1949,20-24,0.00146,0.00727,2.55,94832,689,472469,5076710,53.53
Reg4,f,1941-1949,25-29,0.00163,0.00811,2.56,94143,764,468848,4604241,48.91
Reg4,f,1941-1949,30-34,0.00204,0.01015,2.62,93379,948,464637,4135393,44.29
Reg4,f,1941-1949,35-39,0.00287,0.01424,2.62,92432,1316,459029,3670756,39.71
Reg4,f,1941-1949,40-44,0.00384,0.01905,2.63,91116,1736,451458,3211727,35.25
Reg4,f,1941-1949,45-49,0.00551,0.02718,2.62,89380,2430,441130,2760269,30.88
Reg4,f,1941-1949,50-54,0.00770,0.03783,2.61,86951,3289,426903,2319139,26.67
Reg4,f,1941-1949,55-59,0.01100,0.05358,2.63,83662,4483,407681,1892235,22.62
Reg4,f,1941-1949,60-64,0.01638,0.07885,2.64,79179,6243,381135,1484555,18.75
Reg4,f,1941-1949,65-69,0.02618,0.12331,2.64,72936,8994,343482,1103420,15.13
Reg4,f,1941-1949,70-74,0.04294,0.19477,2.61,63942,12454,290006,759938,11.88
Reg4,f,1941-1949,75-79,0.07052,0.30056,2.55,51488,15475,219456,469932,9.13
Reg4,f,1941-1949,80-84,0.10398,0.41197,2.48,36013,14836,142678,250477,6.96
Reg4,f,1941-1949,85-89,0.16519,0.57464,2.35,21177,12169,73665,107798,5.09
Reg4,f,1941-1949,90-94,0.23830,0.70696,2.12,9008,6368,26722,34133,3.79
Reg4,f,1941-1949,95-99,0.34031,0.83455,1.95,2640,2203,6473,7411,2.81
Reg4,f,1941-1949,100-104,0.45693,0.91317,1.71,437,399,873,938,2.15
Reg4,f,1941-1949,105-109,0.57896,0.95598,1.5,38,36,63,65,1.72
Reg4,f,1941-1949,110+,0.67596,1.00000,1.48,2,2,2,2,1.48
Reg4,f,1950-1959,0,0.02333,0.02286,0.12,100000,2286,97984,7363340,73.63
Reg4,f,1950-1959,1-4,0.00111,0.00443,1.57,97714,433,389802,7265356,74.35
Reg4,f,1950-1959,5-9,0.00043,0.00217,2.28,97281,211,485829,6875554,70.68
Reg4,f,1950-1959,10-14,0.00037,0.00187,2.65,97070,181,484923,6389725,65.83
Reg4,f,1950-1959,15-19,0.00065,0.00327,2.66,96888,317,483700,5904802,60.94
Reg4,f,1950-1959,20-24,0.00079,0.00396,2.56,96572,382,481926,5421102,56.14
Reg4,f,1950-1959,25-29,0.00096,0.00479,2.57,96189,461,479829,4939176,51.35
Reg4,f,1950-1959,30-34,0.00124,0.00616,2.63,95729,590,477244,4459347,46.58
Reg4,f,1950-1959,35-39,0.00183,0.00911,2.67,95139,867,473676,3982103,41.86
Reg4,f,1950-1959,40-44,0.00282,0.01399,2.66,94272,1319,468273,3508427,37.22
Reg4,f,1950-1959,45-49,0.00427,0.02112,2.65,92953,1963,460151,3040154,32.71
Reg4,f,1950-1959,50-54,0.00615,0.03030,2.64,90990,2757,448432,2580004,28.35
Reg4,f,1950-1959,55-59,0.00886,0.04341,2.64,88233,3830,432109,2131571,24.16
Reg4,f,1950-1959,60-64,0.01325,0.06425,2.66,84403,5423,409307,1699462,20.14
Reg4,f,1950-1959,65-69,0.02141,0.10193,2.65,78980,8050,376015,1290155,16.34
