Reg4: Reg4, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05119	0.04913	0.18	100000	4913	95983	6216077	62.16
1941	1	0.00597	0.00595	0.5	95087	566	94804	6120094	64.36
1941	2	0.00286	0.00285	0.5	94521	270	94386	6025291	63.75
1941	3	0.00195	0.00195	0.5	94251	184	94159	5930905	62.93
1941	4	0.00154	0.00154	0.5	94067	145	93994	5836746	62.05
1941	5	0.00135	0.00135	0.5	93922	127	93858	5742751	61.14
1941	6	0.00125	0.00125	0.5	93795	117	93736	5648893	60.23
1941	7	0.00118	0.00118	0.5	93678	111	93622	5555157	59.30
1941	8	0.00112	0.00112	0.5	93567	105	93514	5461535	58.37
1941	9	0.00104	0.00104	0.5	93462	97	93413	5368020	57.44
1941	10	0.00099	0.00099	0.5	93365	93	93318	5274607	56.49
1941	11	0.00102	0.00102	0.5	93272	95	93224	5181289	55.55
1941	12	0.00111	0.00111	0.5	93177	104	93125	5088064	54.61
1941	13	0.00124	0.00124	0.5	93073	116	93016	4994939	53.67
1941	14	0.00144	0.00144	0.5	92958	134	92891	4901924	52.73
1941	15	0.00168	0.00167	0.5	92824	155	92746	4809033	51.81
1941	16	0.00188	0.00188	0.5	92669	174	92582	4716287	50.89
1941	17	0.00207	0.00207	0.5	92495	191	92399	4623705	49.99
1941	18	0.00227	0.00227	0.5	92303	209	92199	4531306	49.09
1941	19	0.00239	0.00239	0.5	92094	220	91984	4439108	48.20
1941	20	0.00254	0.00253	0.5	91874	233	91757	4347124	47.32
1941	21	0.00274	0.00274	0.5	91641	251	91516	4255366	46.44
1941	22	0.00285	0.00285	0.5	91390	260	91260	4163850	45.56
1941	23	0.00292	0.00291	0.5	91130	265	90997	4072590	44.69
1941	24	0.00293	0.00292	0.5	90865	266	90732	3981593	43.82
1941	25	0.00286	0.00285	0.5	90599	258	90470	3890861	42.95
1941	26	0.00280	0.00279	0.5	90340	252	90214	3800392	42.07
1941	27	0.00280	0.00279	0.5	90088	252	89962	3710177	41.18
1941	28	0.00284	0.00283	0.5	89837	255	89709	3620215	40.30
1941	29	0.00287	0.00287	0.5	89582	257	89453	3530505	39.41
1941	30	0.00293	0.00293	0.5	89325	261	89194	3441052	38.52
1941	31	0.00303	0.00303	0.5	89063	270	88929	3351858	37.63
1941	32	0.00330	0.00329	0.5	88794	293	88647	3262929	36.75
1941	33	0.00355	0.00355	0.5	88501	314	88344	3174282	35.87
1941	34	0.00382	0.00381	0.5	88187	336	88019	3085938	34.99
