Reg4: Reg4, Lifetables (period 1x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04861	0.04673	0.18	100000	4673	96147	6213976	62.14
1941-1944	1	0.00528	0.00526	0.5	95327	502	95076	6117829	64.18
1941-1944	2	0.00294	0.00293	0.5	94825	278	94686	6022753	63.51
1941-1944	3	0.00204	0.00204	0.5	94547	192	94451	5928068	62.70
1941-1944	4	0.00165	0.00165	0.5	94354	155	94277	5833617	61.83
1941-1944	5	0.00144	0.00144	0.5	94199	135	94131	5739340	60.93
1941-1944	6	0.00131	0.00131	0.5	94064	123	94002	5645209	60.01
1941-1944	7	0.00122	0.00122	0.5	93941	114	93884	5551207	59.09
1941-1944	8	0.00115	0.00115	0.5	93827	108	93773	5457323	58.16
1941-1944	9	0.00110	0.00110	0.5	93719	103	93667	5363550	57.23
1941-1944	10	0.00107	0.00107	0.5	93616	100	93566	5269883	56.29
1941-1944	11	0.00108	0.00108	0.5	93516	101	93466	5176317	55.35
1941-1944	12	0.00114	0.00114	0.5	93415	106	93362	5082851	54.41
1941-1944	13	0.00125	0.00125	0.5	93309	117	93251	4989489	53.47
1941-1944	14	0.00142	0.00142	0.5	93192	133	93126	4896238	52.54
1941-1944	15	0.00165	0.00164	0.5	93060	153	92983	4803112	51.61
1941-1944	16	0.00190	0.00190	0.5	92907	177	92818	4710129	50.70
1941-1944	17	0.00219	0.00219	0.5	92730	203	92628	4617311	49.79
1941-1944	18	0.00251	0.00250	0.5	92527	232	92411	4524682	48.90
1941-1944	19	0.00285	0.00284	0.5	92295	263	92164	4432271	48.02
1941-1944	20	0.00320	0.00319	0.5	92033	294	91886	4340107	47.16
1941-1944	21	0.00346	0.00346	0.5	91739	317	91580	4248221	46.31
1941-1944	22	0.00359	0.00359	0.5	91422	328	91258	4156641	45.47
1941-1944	23	0.00362	0.00361	0.5	91094	329	90929	4065383	44.63
1941-1944	24	0.00352	0.00352	0.5	90765	319	90605	3974454	43.79
1941-1944	25	0.00330	0.00329	0.5	90446	298	90297	3883849	42.94
1941-1944	26	0.00308	0.00308	0.5	90148	277	90009	3793552	42.08
1941-1944	27	0.00292	0.00292	0.5	89871	262	89739	3703543	41.21
1941-1944	28	0.00284	0.00284	0.5	89608	255	89481	3613804	40.33
1941-1944	29	0.00285	0.00284	0.5	89354	254	89227	3524323	39.44
1941-1944	30	0.00292	0.00292	0.5	89100	260	88970	3435096	38.55
1941-1944	31	0.00304	0.00304	0.5	88840	270	88705	3346126	37.66
1941-1944	32	0.00321	0.00320	0.5	88570	283	88428	3257422	36.78
1941-1944	33	0.00343	0.00342	0.5	88286	302	88135	3168993	35.89
1941-1944	34	0.00370	0.00369	0.5	87985	325	87822	3080858	35.02
1941-1944	35	0.00403	0.00402	0.5	87660	352	87484	2993036	34.14
1941-1944	36	0.00434	0.00433	0.5	87308	378	87118	2905552	33.28
1941-1944	37	0.00469	0.00468	0.5	86929	407	86726	2818434	32.42
1941-1944	38	0.00511	0.00510	0.5	86523	441	86302	2731708	31.57
1941-1944	39	0.00550	0.00549	0.5	86082	472	85845	2645405	30.73
1941-1944	40	0.00585	0.00583	0.5	85609	499	85360	2559560	29.90
1941-1944	41	0.00616	0.00614	0.5	85110	523	84849	2474200	29.07
1941-1944	42	0.00659	0.00657	0.5	84587	555	84310	2389351	28.25
1941-1944	43	0.00711	0.00708	0.5	84032	595	83734	2305042	27.43
1941-1944	44	0.00776	0.00773	0.5	83437	645	83114	2221307	26.62
1941-1944	45	0.00862	0.00858	0.5	82792	711	82436	2138193	25.83
1941-1944	46	0.00927	0.00923	0.5	82081	758	81702	2055757	25.05
1941-1944	47	0.00994	0.00989	0.5	81323	804	80921	1974055	24.27
1941-1944	48	0.01079	0.01073	0.5	80519	864	80087	1893133	23.51
1941-1944	49	0.01162	0.01156	0.5	79655	921	79195	1813046	22.76
1941-1944	50	0.01258	0.01250	0.5	78734	984	78242	1733851	22.02
1941-1944	51	0.01345	0.01336	0.5	77750	1039	77231	1655609	21.29
1941-1944	52	0.01446	0.01435	0.5	76711	1101	76161	1578378	20.58
1941-1944	53	0.01560	0.01548	0.5	75611	1171	75025	1502217	19.87
1941-1944	54	0.01677	0.01663	0.5	74440	1238	73821	1427192	19.17
1941-1944	55	0.01817	0.01801	0.5	73202	1318	72543	1353371	18.49
1941-1944	56	0.01941	0.01923	0.5	71884	1382	71193	1280828	17.82
1941-1944	57	0.02069	0.02048	0.5	70502	1444	69780	1209635	17.16
1941-1944	58	0.02229	0.02204	0.5	69058	1522	68297	1139855	16.51
1941-1944	59	0.02396	0.02368	0.5	67536	1599	66736	1071559	15.87
1941-1944	60	0.02589	0.02556	0.5	65937	1685	65094	1004822	15.24
1941-1944	61	0.02788	0.02749	0.5	64252	1766	63368	939728	14.63
1941-1944	62	0.03023	0.02978	0.5	62485	1861	61554	876360	14.03
1941-1944	63	0.03298	0.03244	0.5	60624	1967	59640	814805	13.44
1941-1944	64	0.03548	0.03487	0.5	58657	2045	57634	755165	12.87
1941-1944	65	0.03817	0.03745	0.5	56612	2120	55552	697531	12.32
1941-1944	66	0.04032	0.03952	0.5	54492	2154	53415	641979	11.78
1941-1944	67	0.04316	0.04225	0.5	52338	2211	51232	588564	11.25
1941-1944	68	0.04742	0.04632	0.5	50127	2322	48966	537331	10.72
1941-1944	69	0.05194	0.05062	0.5	47805	2420	46595	488366	10.22
1941-1944	70	0.05706	0.05547	0.5	45385	2518	44126	441771	9.73
1941-1944	71	0.06138	0.05955	0.5	42867	2553	41591	397645	9.28
1941-1944	72	0.06588	0.06378	0.5	40315	2571	39029	356054	8.83
1941-1944	73	0.07113	0.06868	0.5	37743	2592	36447	317025	8.40
1941-1944	74	0.07625	0.07345	0.5	35151	2582	33860	280578	7.98
1941-1944	75	0.08253	0.07926	0.5	32569	2581	31278	246717	7.58
1941-1944	76	0.08815	0.08443	0.5	29988	2532	28722	215439	7.18
1941-1944	77	0.09403	0.08981	0.5	27456	2466	26223	186717	6.80
1941-1944	78	0.10328	0.09821	0.5	24990	2454	23763	160494	6.42
1941-1944	79	0.11394	0.10780	0.5	22536	2429	21321	136731	6.07
1941-1944	80	0.12025	0.11343	0.5	20107	2281	18966	115410	5.74
1941-1944	81	0.13225	0.12405	0.5	17826	2211	16720	96443	5.41
1941-1944	82	0.14487	0.13509	0.5	15615	2109	14560	79723	5.11
1941-1944	83	0.15804	0.14646	0.5	13505	1978	12516	65163	4.83
1941-1944	84	0.17111	0.15762	0.5	11527	1817	10619	52647	4.57
1941-1944	85	0.18309	0.16773	0.5	9710	1629	8896	42028	4.33
1941-1944	86	0.19630	0.17876	0.5	8082	1445	7359	33132	4.10
1941-1944	87	0.21185	0.19156	0.5	6637	1271	6001	25773	3.88
1941-1944	88	0.22926	0.20568	0.5	5366	1104	4814	19772	3.68
1941-1944	89	0.24744	0.22020	0.5	4262	938	3793	14958	3.51
1941-1944	90	0.26489	0.23391	0.5	3323	777	2935	11165	3.36
1941-1944	91	0.27829	0.24430	0.5	2546	622	2235	8230	3.23
1941-1944	92	0.28590	0.25014	0.5	1924	481	1683	5995	3.12
1941-1944	93	0.28792	0.25168	0.5	1443	363	1261	4312	2.99
1941-1944	94	0.28986	0.25317	0.5	1080	273	943	3051	2.83
