PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg4,m,1941-1949,0,0.04296,0.04147,0.16,100000,4147,96518,6339145,63.39
Reg4,m,1941-1949,1-4,0.00234,0.00930,1.56,95853,891,381234,6242627,65.13
Reg4,m,1941-1949,5-9,0.00109,0.00542,2.38,94962,514,473461,5861393,61.72
Reg4,m,1941-1949,10-14,0.00108,0.00540,2.68,94448,510,471054,5387932,57.05
Reg4,m,1941-1949,15-19,0.00198,0.00985,2.73,93938,925,467590,4916879,52.34
Reg4,m,1941-1949,20-24,0.00288,0.01432,2.53,93013,1332,461769,4449289,47.84
Reg4,m,1941-1949,25-29,0.00264,0.01312,2.47,91681,1203,455362,3987519,43.49
Reg4,m,1941-1949,30-34,0.00299,0.01483,2.6,90478,1341,449168,3532157,39.04
Reg4,m,1941-1949,35-39,0.00423,0.02094,2.65,89137,1867,441305,3082990,34.59
Reg4,m,1941-1949,40-44,0.00638,0.03144,2.65,87270,2744,429913,2641684,30.27
Reg4,m,1941-1949,45-49,0.00958,0.04685,2.64,84527,3960,413284,2211771,26.17
Reg4,m,1941-1949,50-54,0.01420,0.06866,2.62,80566,5532,389651,1798487,22.32
Reg4,m,1941-1949,55-59,0.02041,0.09728,2.6,75035,7300,357670,1408837,18.78
Reg4,m,1941-1949,60-64,0.02926,0.13665,2.59,67735,9256,316354,1051166,15.52
Reg4,m,1941-1949,65-69,0.04291,0.19428,2.57,58479,11361,264772,734812,12.57
Reg4,m,1941-1949,70-74,0.06264,0.27124,2.53,47118,12780,204014,470040,9.98
Reg4,m,1941-1949,75-79,0.09309,0.37669,2.47,34338,12935,138953,266027,7.75
Reg4,m,1941-1949,80-84,0.13416,0.49722,2.4,21403,10642,79323,127074,5.94
Reg4,m,1941-1949,85-89,0.19962,0.64492,2.26,10761,6940,34767,47751,4.44
Reg4,m,1941-1949,90-94,0.27353,0.75370,2.02,3821,2880,10529,12984,3.40
Reg4,m,1941-1949,95-99,0.37064,0.85861,1.87,941,808,2180,2455,2.61
Reg4,m,1941-1949,100-104,0.47771,0.92160,1.67,133,123,257,274,2.06
Reg4,m,1941-1949,105-109,0.58730,0.95734,1.48,10,10,17,18,1.69
Reg4,m,1941-1949,110+,0.67409,1.00000,1.48,0,0,1,1,1.48
Reg4,m,1950-1959,0,0.03096,0.03015,0.13,100000,3015,97371,6675046,66.75
Reg4,m,1950-1959,1-4,0.00132,0.00526,1.58,96985,510,386708,6577675,67.82
Reg4,m,1950-1959,5-9,0.00061,0.00306,2.36,96475,295,481596,6190968,64.17
Reg4,m,1950-1959,10-14,0.00063,0.00317,2.76,96180,305,480218,5709371,59.36
Reg4,m,1950-1959,15-19,0.00145,0.00720,2.75,95876,691,477825,5229154,54.54
Reg4,m,1950-1959,20-24,0.00197,0.00980,2.51,95185,933,473605,4751329,49.92
Reg4,m,1950-1959,25-29,0.00190,0.00948,2.49,94252,893,469022,4277723,45.39
Reg4,m,1950-1959,30-34,0.00214,0.01066,2.58,93359,995,464387,3808701,40.80
Reg4,m,1950-1959,35-39,0.00292,0.01451,2.66,92364,1340,458682,3344314,36.21
Reg4,m,1950-1959,40-44,0.00466,0.02304,2.68,91024,2098,450258,2885633,31.70
Reg4,m,1950-1959,45-49,0.00769,0.03777,2.68,88926,3358,436855,2435375,27.39
Reg4,m,1950-1959,50-54,0.01210,0.05884,2.65,85568,5035,416006,1998520,23.36
Reg4,m,1950-1959,55-59,0.01807,0.08665,2.62,80533,6978,386079,1582514,19.65
Reg4,m,1950-1959,60-64,0.02660,0.12504,2.61,73555,9197,345756,1196435,16.27
Reg4,m,1950-1959,65-69,0.03946,0.18005,2.57,64357,11588,293654,850678,13.22
